accuracy,attention_parameter_grad_norm,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,permission_grad_norm,primary_metric,train_loss,warrant_logit_mean
0.617791,0.022595,0.676756,0.0,0.0,2.533997,0.667916,1,0.645684,1.0,0.000324,0.676756,0.698863,0.0
0.825488,0.021315,0.875107,0.0,0.0,1.715871,0.115376,2,0.418733,1.0,0.002216,0.875107,0.519966,0.0
0.825755,0.01141,0.884245,0.0,0.0,1.980272,0.14025,3,0.410256,1.0,0.001103,0.884245,0.460175,0.0
0.826213,0.007714,0.890311,0.0,0.0,1.919486,0.122822,4,0.402895,1.0,0.000729,0.890311,0.442978,0.0
0.825183,0.008528,0.891709,0.0,0.0,2.022147,0.163979,5,0.397682,1.0,0.000823,0.891709,0.434495,0.0
0.828387,0.009123,0.897099,0.0,0.0,1.926694,0.2169,6,0.393825,1.0,0.000844,0.897099,0.425206,0.0
0.831172,0.009412,0.897118,0.0,0.0,2.004998,0.154785,7,0.389986,1.0,0.001081,0.897118,0.412597,0.0
0.82484,0.010224,0.898917,0.0,0.0,2.092497,0.277932,8,0.391411,1.0,0.000979,0.898917,0.40236,0.0
0.828197,0.011332,0.900837,0.0,0.0,2.14739,0.219344,9,0.38711,1.0,0.001129,0.900837,0.389732,0.0
0.829112,0.013141,0.902979,0.0,0.0,2.117492,0.254331,10,0.384965,1.0,0.001055,0.902979,0.379739,0.0
0.828845,0.013378,0.900389,0.0,0.0,2.07694,0.261265,11,0.401128,1.0,0.001218,0.900389,0.367934,0.0
0.828959,0.014075,0.903035,0.0,0.0,2.005374,0.222241,12,0.389534,1.0,0.001273,0.903035,0.356521,0.0
0.833193,0.015621,0.90405,0.0,0.0,1.988211,0.166806,13,0.405816,1.0,0.001508,0.90405,0.346778,0.0
0.828273,0.013719,0.902514,0.0,0.0,2.105499,0.292587,14,0.408297,1.0,0.001395,0.902514,0.332225,0.0
0.833079,0.015405,0.904036,0.0,0.0,2.031074,0.178123,15,0.406374,1.0,0.001409,0.904036,0.323817,0.0
0.829417,0.015018,0.903303,0.0,0.0,2.062766,0.251342,16,0.413408,1.0,0.001478,0.903303,0.316531,0.0
0.828425,0.016418,0.902727,0.0,0.0,2.053386,0.171954,17,0.4136,1.0,0.001765,0.902727,0.30526,0.0
0.831668,0.015344,0.904124,0.0,0.0,2.020523,0.305781,18,0.445124,1.0,0.00143,0.904124,0.296649,0.0
0.832354,0.017956,0.904189,0.0,0.0,1.994482,0.218864,19,0.462444,1.0,0.001792,0.904189,0.287177,0.0
0.829989,0.016841,0.90404,0.0,0.0,2.056625,0.244904,20,0.466582,1.0,0.00177,0.90404,0.278578,0.0
0.828235,0.016608,0.903388,0.0,0.0,2.20785,0.244151,21,0.468606,1.0,0.001792,0.903388,0.266241,0.0
0.830294,0.016939,0.904148,0.0,0.0,1.981115,0.274747,22,0.477443,1.0,0.001912,0.904148,0.260729,0.0
0.829188,0.017728,0.902711,0.0,0.0,1.993301,0.328943,23,0.494297,1.0,0.002027,0.902711,0.252851,0.0
0.829341,0.019282,0.904587,0.0,0.0,2.013742,0.317723,24,0.504584,1.0,0.001954,0.904587,0.249933,0.0
0.829493,0.019363,0.903086,0.0,0.0,2.016246,0.371989,25,0.501172,1.0,0.002183,0.903086,0.243236,0.0
0.826747,0.017945,0.903079,0.0,0.0,2.053297,0.398623,26,0.53736,1.0,0.001972,0.903079,0.231045,0.0
0.830142,0.018924,0.904144,0.0,0.0,2.066844,0.368139,27,0.516101,1.0,0.001996,0.904144,0.225172,0.0
0.828464,0.019455,0.903639,0.0,0.0,1.997152,0.303017,28,0.573408,1.0,0.002122,0.903639,0.21951,0.0
0.829875,0.018632,0.903324,0.0,0.0,2.01625,0.384429,29,0.554494,1.0,0.001961,0.903324,0.214475,0.0
0.827891,0.019116,0.903781,0.0,0.0,2.045467,0.386,30,0.61147,1.0,0.002158,0.903781,0.206861,0.0
