accuracy,attention_parameter_grad_norm,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,permission_grad_norm,primary_metric,train_loss,warrant_logit_mean
0.582812,0.020238,0.618505,0.0,0.0,3.099433,0.9767,1,0.674443,1.0,9.2e-05,0.618505,0.703958,0.0
0.812061,0.014939,0.87068,0.0,0.0,1.904111,0.991873,2,0.435033,1.0,0.000159,0.87068,0.565175,0.0
0.823848,0.013337,0.885439,0.0,0.0,2.658998,0.990234,3,0.409553,1.0,0.000128,0.885439,0.464694,0.0
0.826404,0.008806,0.890729,0.0,0.0,2.879078,0.990234,4,0.400715,1.0,7.2e-05,0.890729,0.442128,0.0
0.827968,0.009801,0.895386,0.0,0.0,2.614006,0.989772,5,0.396713,1.0,8.2e-05,0.895386,0.433478,0.0
0.823848,0.010143,0.892994,0.0,0.0,2.842425,0.988746,6,0.398233,1.0,8.9e-05,0.892994,0.424241,0.0
0.826785,0.009593,0.897672,0.0,0.0,2.744407,0.988961,7,0.391921,1.0,7.1e-05,0.897672,0.413737,0.0
0.829799,0.01109,0.899149,0.0,0.0,2.735559,0.988154,8,0.394779,1.0,7.3e-05,0.899149,0.401108,0.0
0.824077,0.013837,0.89593,0.0,0.0,2.64896,0.986795,9,0.400171,1.0,0.000101,0.89593,0.390024,0.0
0.830027,0.011808,0.900517,0.0,0.0,2.75782,0.988852,10,0.399236,1.0,6.5e-05,0.900517,0.379115,0.0
0.828235,0.013599,0.902541,0.0,0.0,2.875186,0.988652,11,0.39037,1.0,7.9e-05,0.902541,0.364746,0.0
0.828235,0.014819,0.90122,0.0,0.0,2.757439,0.988247,12,0.393365,1.0,9.2e-05,0.90122,0.356628,0.0
0.827014,0.015182,0.90112,0.0,0.0,2.627444,0.989495,13,0.40361,1.0,0.000106,0.90112,0.347932,0.0
0.833918,0.015291,0.904454,0.0,0.0,2.73798,0.989869,14,0.399758,1.0,0.000136,0.904454,0.337536,0.0
0.829684,0.014759,0.901949,0.0,0.0,2.768036,0.990346,15,0.411417,1.0,0.000153,0.901949,0.324325,0.0
0.825641,0.016157,0.901643,0.0,0.0,2.877581,0.99119,16,0.445247,1.0,0.000195,0.901643,0.315516,0.0
0.832812,0.016501,0.905108,0.0,0.0,2.676514,0.992345,17,0.419683,1.0,0.000191,0.905108,0.306716,0.0
0.829951,0.016262,0.902814,0.0,0.0,2.774623,0.992361,18,0.447209,1.0,0.000256,0.902814,0.295371,0.0
0.827395,0.018041,0.901362,0.0,0.0,2.751562,0.992978,19,0.445747,1.0,0.000281,0.901362,0.288794,0.0
0.830981,0.01712,0.902234,0.0,0.0,2.781493,0.993148,20,0.47415,1.0,0.000331,0.902234,0.280002,0.0
0.834872,0.017676,0.905213,0.0,0.0,2.638704,0.992925,21,0.471931,1.0,0.000366,0.905213,0.272455,0.0
0.822208,0.01747,0.897275,0.0,0.0,2.742906,0.993786,22,0.489232,1.0,0.00037,0.897275,0.263697,0.0
0.83163,0.018448,0.903666,0.0,0.0,2.690543,0.993847,23,0.466917,1.0,0.000463,0.903666,0.256265,0.0
0.82072,0.018244,0.897171,0.0,0.0,2.813248,0.994498,24,0.544479,1.0,0.000532,0.897171,0.248566,0.0
0.827243,0.019672,0.902401,0.0,0.0,2.674954,0.994122,25,0.568186,1.0,0.000601,0.902401,0.243706,0.0
0.830714,0.020685,0.903904,0.0,0.0,2.692683,0.994882,26,0.518001,1.0,0.000614,0.903904,0.238253,0.0
0.829226,0.020114,0.901344,0.0,0.0,2.679681,0.995027,27,0.521638,1.0,0.000673,0.901344,0.230481,0.0
0.8232,0.020937,0.899912,0.0,0.0,2.738249,0.995092,28,0.596009,1.0,0.000645,0.899912,0.225793,0.0
0.82587,0.020135,0.898953,0.0,0.0,2.760068,0.995579,29,0.566674,1.0,0.000701,0.898953,0.221065,0.0
0.825984,0.019498,0.899735,0.0,0.0,2.778422,0.995452,30,0.581033,1.0,0.000645,0.899735,0.213329,0.0
