accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.61596,0.666692,0.0,0.0,2.694203,0.975264,1,0.64424,1.0,0.666692,0.694769,0.0
0.820568,0.871792,0.0,0.0,1.955647,0.98822,2,0.424867,1.0,0.871792,0.536655,0.0
0.821597,0.883888,0.0,0.0,2.889127,0.986336,3,0.40921,1.0,0.883888,0.457705,0.0
0.827319,0.889929,0.0,0.0,2.868232,0.985196,4,0.400785,1.0,0.889929,0.444093,0.0
0.827701,0.894641,0.0,0.0,2.753799,0.986365,5,0.39515,1.0,0.894641,0.432509,0.0
0.827128,0.895871,0.0,0.0,2.869758,0.984222,6,0.395121,1.0,0.895871,0.425488,0.0
0.824649,0.896813,0.0,0.0,2.715537,0.984223,7,0.393293,1.0,0.896813,0.415849,0.0
0.829226,0.900264,0.0,0.0,2.847437,0.983511,8,0.388851,1.0,0.900264,0.401543,0.0
0.832125,0.900612,0.0,0.0,2.777632,0.983935,9,0.390265,1.0,0.900612,0.390486,0.0
0.831286,0.902398,0.0,0.0,2.753219,0.983757,10,0.392018,1.0,0.902398,0.37769,0.0
0.826099,0.899145,0.0,0.0,2.816254,0.984494,11,0.403298,1.0,0.899145,0.368582,0.0
0.828502,0.900026,0.0,0.0,2.68766,0.985842,12,0.394888,1.0,0.900026,0.353851,0.0
0.832431,0.903559,0.0,0.0,2.742032,0.98663,13,0.397295,1.0,0.903559,0.345906,0.0
0.8306,0.903774,0.0,0.0,2.668668,0.988158,14,0.40556,1.0,0.903774,0.334709,0.0
0.834223,0.902503,0.0,0.0,2.623695,0.988195,15,0.415823,1.0,0.902503,0.321831,0.0
0.835597,0.906026,0.0,0.0,2.725844,0.990116,16,0.422108,1.0,0.906026,0.316068,0.0
0.834376,0.907003,0.0,0.0,2.706266,0.989562,17,0.410196,1.0,0.907003,0.306369,0.0
0.835101,0.906353,0.0,0.0,2.598378,0.990894,18,0.426216,1.0,0.906353,0.297627,0.0
0.831439,0.904456,0.0,0.0,2.709744,0.991056,19,0.463019,1.0,0.904456,0.284002,0.0
0.832164,0.904874,0.0,0.0,2.639047,0.99152,20,0.438005,1.0,0.904874,0.276853,0.0
0.83018,0.901774,0.0,0.0,2.580864,0.992668,21,0.46466,1.0,0.901774,0.269373,0.0
0.831172,0.903894,0.0,0.0,2.645909,0.993156,22,0.484764,1.0,0.903894,0.258122,0.0
0.833499,0.905606,0.0,0.0,2.731253,0.993607,23,0.477541,1.0,0.905606,0.251408,0.0
0.832087,0.903468,0.0,0.0,2.694772,0.993955,24,0.487262,1.0,0.903468,0.245638,0.0
0.82915,0.901981,0.0,0.0,2.704699,0.994392,25,0.531784,1.0,0.901981,0.241478,0.0
0.829989,0.903103,0.0,0.0,2.588428,0.994607,26,0.537274,1.0,0.903103,0.229531,0.0
0.827357,0.901767,0.0,0.0,2.7186,0.994899,27,0.529931,1.0,0.901767,0.228035,0.0
0.828998,0.902172,0.0,0.0,2.761368,0.995609,28,0.558716,1.0,0.902172,0.220375,0.0
0.828273,0.902801,0.0,0.0,2.726995,0.99561,29,0.585671,1.0,0.902801,0.21426,0.0
0.82915,0.90364,0.0,0.0,2.658766,0.99554,30,0.577988,1.0,0.90364,0.210006,0.0
