accuracy,attention_parameter_grad_norm,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,permission_grad_norm,primary_metric,train_loss,warrant_logit_mean
0.582888,0.020276,0.620716,0.0,0.0,3.129427,0.725188,1,0.673133,1.0,3.6e-05,0.620716,0.703481,0.0
0.815418,0.017097,0.868023,0.0,0.0,1.929895,0.100482,2,0.431897,1.0,0.001234,0.868023,0.561614,0.0
0.823657,0.010241,0.885986,0.0,0.0,2.598351,0.099344,3,0.408591,1.0,0.000127,0.885986,0.462015,0.0
0.825984,0.009643,0.891124,0.0,0.0,3.110816,0.099639,4,0.401108,1.0,0.000206,0.891124,0.44267,0.0
0.828006,0.008858,0.895837,0.0,0.0,2.954708,0.099404,5,0.391635,1.0,0.000219,0.895837,0.432896,0.0
0.822627,0.011023,0.894445,0.0,0.0,3.047503,0.099863,6,0.39535,1.0,0.000127,0.894445,0.424703,0.0
0.824687,0.01009,0.897764,0.0,0.0,3.044834,0.100029,7,0.392765,1.0,0.000253,0.897764,0.41425,0.0
0.829341,0.011495,0.899476,0.0,0.0,3.05743,0.100609,8,0.392954,1.0,0.000519,0.899476,0.400861,0.0
0.825679,0.011687,0.898009,0.0,0.0,3.044621,0.097782,9,0.394721,1.0,0.000399,0.898009,0.388138,0.0
0.829913,0.011972,0.901465,0.0,0.0,3.046655,0.098908,10,0.393343,1.0,0.000443,0.901465,0.378183,0.0
0.825298,0.014077,0.903016,0.0,0.0,2.991783,0.101713,11,0.393081,1.0,0.000411,0.903016,0.36484,0.0
0.828616,0.014153,0.901165,0.0,0.0,3.01926,0.102337,12,0.400081,1.0,0.000466,0.901165,0.356024,0.0
0.825984,0.014824,0.901174,0.0,0.0,2.893387,0.099758,13,0.401774,1.0,0.000589,0.901174,0.347036,0.0
0.833384,0.015415,0.905383,0.0,0.0,3.031992,0.096082,14,0.405374,1.0,0.000841,0.905383,0.336229,0.0
0.832087,0.014685,0.90355,0.0,0.0,2.943491,0.100246,15,0.408526,1.0,0.000501,0.90355,0.323336,0.0
0.829417,0.01576,0.903051,0.0,0.0,2.924783,0.103799,16,0.448541,1.0,0.000491,0.903051,0.313327,0.0
0.830066,0.015745,0.903655,0.0,0.0,2.95311,0.099013,17,0.449552,1.0,0.000558,0.903655,0.303503,0.0
0.830256,0.016825,0.904845,0.0,0.0,2.842838,0.100439,18,0.427587,1.0,0.000468,0.904845,0.293367,0.0
0.828082,0.018664,0.90262,0.0,0.0,2.893155,0.099874,19,0.456967,1.0,0.000577,0.90262,0.289178,0.0
0.832621,0.017345,0.907548,0.0,0.0,2.951158,0.099615,20,0.434648,1.0,0.000599,0.907548,0.27729,0.0
0.834643,0.018247,0.903876,0.0,0.0,2.77331,0.101237,21,0.48449,1.0,0.00067,0.903876,0.270413,0.0
0.830294,0.018384,0.902983,0.0,0.0,2.934967,0.10121,22,0.534588,1.0,0.000617,0.902983,0.259657,0.0
0.828959,0.018262,0.9038,0.0,0.0,2.787308,0.100504,23,0.467893,1.0,0.000637,0.9038,0.255147,0.0
0.829188,0.019046,0.903046,0.0,0.0,2.782224,0.100253,24,0.497566,1.0,0.000634,0.903046,0.247524,0.0
0.831477,0.019915,0.906007,0.0,0.0,2.832372,0.099251,25,0.487756,1.0,0.000674,0.906007,0.241755,0.0
0.834223,0.019709,0.906585,0.0,0.0,2.791361,0.100192,26,0.551401,1.0,0.000739,0.906585,0.233659,0.0
0.828311,0.019442,0.903682,0.0,0.0,2.752084,0.10163,27,0.569475,1.0,0.00085,0.903682,0.225589,0.0
0.831668,0.019434,0.905421,0.0,0.0,2.765097,0.099272,28,0.573002,1.0,0.000788,0.905421,0.221166,0.0
0.827052,0.019799,0.90217,0.0,0.0,2.807179,0.101796,29,0.618902,1.0,0.00086,0.90217,0.215451,0.0
0.831401,0.019985,0.905921,0.0,0.0,2.834502,0.101044,30,0.598738,1.0,0.000768,0.905921,0.211503,0.0
