accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.614358,0.667488,0.0,0.0,2.79722,0.568163,1,0.644826,1.0,0.667488,0.695381,0.0
0.804699,0.870436,0.0,0.0,2.14601,0.099297,2,0.442008,1.0,0.870436,0.536263,0.0
0.820682,0.883655,0.0,0.0,2.935323,0.103438,3,0.409848,1.0,0.883655,0.458545,0.0
0.82812,0.891221,0.0,0.0,3.016431,0.099423,4,0.398332,1.0,0.891221,0.44307,0.0
0.828006,0.895996,0.0,0.0,3.026804,0.101124,5,0.392632,1.0,0.895996,0.430562,0.0
0.827662,0.89733,0.0,0.0,3.002793,0.100153,6,0.393504,1.0,0.89733,0.423502,0.0
0.82751,0.898182,0.0,0.0,2.909262,0.100589,7,0.391498,1.0,0.898182,0.410957,0.0
0.832049,0.901082,0.0,0.0,3.030799,0.100147,8,0.387508,1.0,0.901082,0.396485,0.0
0.832011,0.902224,0.0,0.0,3.002187,0.100332,9,0.385946,1.0,0.902224,0.388076,0.0
0.831019,0.902578,0.0,0.0,3.053717,0.101434,10,0.39504,1.0,0.902578,0.374825,0.0
0.829226,0.900608,0.0,0.0,3.043931,0.103841,11,0.402438,1.0,0.900608,0.363807,0.0
0.828082,0.90017,0.0,0.0,2.998757,0.098002,12,0.398363,1.0,0.90017,0.348956,0.0
0.834376,0.905333,0.0,0.0,2.910188,0.097165,13,0.391785,1.0,0.905333,0.341928,0.0
0.830447,0.90386,0.0,0.0,2.951605,0.099516,14,0.409414,1.0,0.90386,0.330285,0.0
0.831248,0.903683,0.0,0.0,2.873358,0.099341,15,0.430515,1.0,0.903683,0.318885,0.0
0.834529,0.907458,0.0,0.0,2.924088,0.101415,16,0.415777,1.0,0.907458,0.314123,0.0
0.831935,0.90571,0.0,0.0,2.904844,0.099739,17,0.43435,1.0,0.90571,0.300979,0.0
0.833041,0.90617,0.0,0.0,2.817914,0.100016,18,0.432133,1.0,0.90617,0.293111,0.0
0.832583,0.905372,0.0,0.0,2.810083,0.102175,19,0.442148,1.0,0.905372,0.280558,0.0
0.829989,0.904217,0.0,0.0,2.842187,0.099145,20,0.44121,1.0,0.904217,0.276009,0.0
0.829684,0.904483,0.0,0.0,2.794017,0.104442,21,0.452186,1.0,0.904483,0.267286,0.0
0.831134,0.903067,0.0,0.0,2.7892,0.102715,22,0.475574,1.0,0.903067,0.254789,0.0
0.835749,0.906817,0.0,0.0,2.878036,0.101676,23,0.484718,1.0,0.906817,0.250126,0.0
0.833499,0.905014,0.0,0.0,2.793845,0.099135,24,0.528725,1.0,0.905014,0.243094,0.0
0.834223,0.90485,0.0,0.0,2.802729,0.099806,25,0.527627,1.0,0.90485,0.238177,0.0
0.830027,0.907496,0.0,0.0,2.733227,0.101433,26,0.55959,1.0,0.907496,0.226447,0.0
0.828235,0.904625,0.0,0.0,2.78938,0.100191,27,0.559142,1.0,0.904625,0.224103,0.0
0.833499,0.905893,0.0,0.0,2.788883,0.100695,28,0.563093,1.0,0.905893,0.216735,0.0
0.832278,0.904348,0.0,0.0,2.796799,0.099867,29,0.566427,1.0,0.904348,0.213626,0.0
0.832698,0.906968,0.0,0.0,2.771735,0.101786,30,0.573888,1.0,0.906968,0.209481,0.0
