accuracy,attention_parameter_grad_norm,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,permission_grad_norm,primary_metric,train_loss,warrant_logit_mean
0.582621,0.020238,0.618704,0.0,0.0,3.074367,0.983186,1,0.67436,1.0,9.5e-05,0.618704,0.703932,0.0
0.820186,0.015672,0.870728,0.0,0.0,1.830235,0.998279,2,0.43196,1.0,0.000122,0.870728,0.565039,0.0
0.824077,0.012006,0.886334,0.0,0.0,2.584423,0.989837,3,0.410073,1.0,6.5e-05,0.886334,0.461955,0.0
0.827548,0.009942,0.890817,0.0,0.0,2.822669,0.984699,4,0.400883,1.0,8.7e-05,0.890817,0.441776,0.0
0.827395,0.009003,0.895466,0.0,0.0,2.619823,0.988107,5,0.392792,1.0,8.7e-05,0.895466,0.431884,0.0
0.823734,0.011051,0.893427,0.0,0.0,2.758078,0.987733,6,0.398297,1.0,0.000105,0.893427,0.423107,0.0
0.827815,0.011252,0.897508,0.0,0.0,2.662706,0.988931,7,0.392806,1.0,8.6e-05,0.897508,0.413356,0.0
0.830333,0.010823,0.898732,0.0,0.0,2.725909,0.990083,8,0.395148,1.0,7.6e-05,0.898732,0.399565,0.0
0.823505,0.013203,0.895915,0.0,0.0,2.700982,0.990862,9,0.399077,1.0,8.1e-05,0.895915,0.388196,0.0
0.828998,0.012113,0.899438,0.0,0.0,2.809833,0.991612,10,0.406402,1.0,5.8e-05,0.899438,0.377754,0.0
0.832621,0.013526,0.904143,0.0,0.0,2.874946,0.992241,11,0.391915,1.0,6.2e-05,0.904143,0.363549,0.0
0.832621,0.013862,0.901278,0.0,0.0,2.768848,0.993,12,0.40179,1.0,6.5e-05,0.901278,0.353081,0.0
0.827968,0.01504,0.900402,0.0,0.0,2.647717,0.994773,13,0.407648,1.0,8.3e-05,0.900402,0.345428,0.0
0.833041,0.016305,0.90379,0.0,0.0,2.783471,0.994113,14,0.401818,1.0,0.000124,0.90379,0.337425,0.0
0.832392,0.015141,0.90355,0.0,0.0,2.735804,0.994876,15,0.412269,1.0,0.000138,0.90355,0.323285,0.0
0.829226,0.016447,0.901584,0.0,0.0,2.840863,0.995043,16,0.425147,1.0,0.000167,0.901584,0.314052,0.0
0.831935,0.01634,0.904268,0.0,0.0,2.739441,0.995945,17,0.42558,1.0,0.0002,0.904268,0.304902,0.0
0.828692,0.016317,0.901874,0.0,0.0,2.821679,0.995546,18,0.447832,1.0,0.000276,0.901874,0.29388,0.0
0.829875,0.01727,0.9022,0.0,0.0,2.726865,0.99573,19,0.469176,1.0,0.000395,0.9022,0.286695,0.0
0.832888,0.017411,0.90461,0.0,0.0,2.768257,0.995641,20,0.479299,1.0,0.000391,0.90461,0.279519,0.0
0.834338,0.018114,0.904042,0.0,0.0,2.699856,0.995723,21,0.472198,1.0,0.000477,0.904042,0.272394,0.0
0.823886,0.019271,0.897961,0.0,0.0,2.749599,0.996361,22,0.472716,1.0,0.0005,0.897961,0.262964,0.0
0.827319,0.019025,0.90028,0.0,0.0,2.661651,0.996375,23,0.47518,1.0,0.000601,0.90028,0.257861,0.0
0.827472,0.018752,0.899702,0.0,0.0,2.789042,0.996271,24,0.501328,1.0,0.000517,0.899702,0.248439,0.0
0.829799,0.019297,0.901238,0.0,0.0,2.714989,0.996767,25,0.54029,1.0,0.000596,0.901238,0.242851,0.0
0.831439,0.020723,0.90359,0.0,0.0,2.675142,0.996944,26,0.55871,1.0,0.000661,0.90359,0.236962,0.0
0.82793,0.019389,0.898872,0.0,0.0,2.744634,0.996674,27,0.550482,1.0,0.000625,0.898872,0.229616,0.0
0.827586,0.021473,0.900096,0.0,0.0,2.631712,0.997126,28,0.578812,1.0,0.000682,0.900096,0.226127,0.0
0.827968,0.019905,0.899643,0.0,0.0,2.74929,0.996893,29,0.591996,1.0,0.000789,0.899643,0.217716,0.0
0.829341,0.019844,0.90048,0.0,0.0,2.714828,0.997139,30,0.577716,1.0,0.000758,0.90048,0.213886,0.0
