accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.616112,0.667351,0.0,0.0,2.69744,0.985093,1,0.643926,1.0,0.667351,0.694738,0.0
0.820453,0.871809,0.0,0.0,1.933504,0.997088,2,0.424536,1.0,0.871809,0.535905,0.0
0.821636,0.883866,0.0,0.0,2.870491,0.985334,3,0.409135,1.0,0.883866,0.457657,0.0
0.827357,0.889896,0.0,0.0,2.856271,0.986728,4,0.400703,1.0,0.889896,0.444154,0.0
0.827891,0.894525,0.0,0.0,2.747608,0.989812,5,0.395289,1.0,0.894525,0.43258,0.0
0.826289,0.895797,0.0,0.0,2.870863,0.988455,6,0.395765,1.0,0.895797,0.425615,0.0
0.824916,0.896872,0.0,0.0,2.710241,0.990886,7,0.392865,1.0,0.896872,0.415942,0.0
0.828692,0.900271,0.0,0.0,2.854643,0.990267,8,0.388898,1.0,0.900271,0.401422,0.0
0.832202,0.900708,0.0,0.0,2.774536,0.992018,9,0.39048,1.0,0.900708,0.390503,0.0
0.831134,0.902558,0.0,0.0,2.77858,0.992495,10,0.392235,1.0,0.902558,0.377585,0.0
0.825412,0.899521,0.0,0.0,2.808754,0.992487,11,0.400138,1.0,0.899521,0.368666,0.0
0.828464,0.899739,0.0,0.0,2.733186,0.993901,12,0.39629,1.0,0.899739,0.353654,0.0
0.832278,0.902818,0.0,0.0,2.730433,0.99458,13,0.398282,1.0,0.902818,0.345698,0.0
0.831248,0.903984,0.0,0.0,2.665736,0.995269,14,0.408704,1.0,0.903984,0.335152,0.0
0.833575,0.903363,0.0,0.0,2.591371,0.99589,15,0.416546,1.0,0.903363,0.321833,0.0
0.834414,0.905172,0.0,0.0,2.7205,0.995624,16,0.42704,1.0,0.905172,0.315952,0.0
0.834109,0.907428,0.0,0.0,2.700765,0.996023,17,0.4144,1.0,0.907428,0.304744,0.0
0.835406,0.905349,0.0,0.0,2.597242,0.996483,18,0.429925,1.0,0.905349,0.296777,0.0
0.828807,0.904309,0.0,0.0,2.694491,0.9962,19,0.463086,1.0,0.904309,0.28514,0.0
0.831401,0.904918,0.0,0.0,2.68939,0.99634,20,0.43632,1.0,0.904918,0.277642,0.0
0.829455,0.901776,0.0,0.0,2.62422,0.996277,21,0.454675,1.0,0.901776,0.269888,0.0
0.833155,0.904587,0.0,0.0,2.634056,0.996169,22,0.478966,1.0,0.904587,0.258438,0.0
0.835063,0.906048,0.0,0.0,2.71442,0.996319,23,0.499016,1.0,0.906048,0.253456,0.0
0.83327,0.904844,0.0,0.0,2.723927,0.99625,24,0.495547,1.0,0.904844,0.246594,0.0
0.828425,0.903139,0.0,0.0,2.724746,0.996512,25,0.528822,1.0,0.903139,0.240118,0.0
0.830829,0.903056,0.0,0.0,2.632278,0.99682,26,0.535278,1.0,0.903056,0.229549,0.0
0.825565,0.901738,0.0,0.0,2.717153,0.996508,27,0.560488,1.0,0.901738,0.227854,0.0
0.828692,0.901805,0.0,0.0,2.769695,0.996233,28,0.581797,1.0,0.901805,0.218916,0.0
0.829799,0.903986,0.0,0.0,2.647191,0.996622,29,0.56159,1.0,0.903986,0.214023,0.0
0.826366,0.903768,0.0,0.0,2.647796,0.996713,30,0.60052,1.0,0.903768,0.211252,0.0
