accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.537451,1,214.015315,0.250927,22961.91961,0.757012,0.757012,215.752295,0.726942
0.54524,2,213.624321,0.250927,22921.913861,0.760801,0.760801,215.996316,0.70348
0.428675,3,212.395269,0.250927,22755.761855,0.700691,0.700691,214.855743,0.739435
0.461734,4,204.751214,0.250927,21582.745446,0.719349,0.719349,207.783395,1.900472
0.51671,5,199.953812,0.250927,21196.387556,0.746838,0.746838,202.096951,2.706671
0.516076,6,197.421857,0.250927,21052.059687,0.746128,0.746128,199.459529,2.738828
0.549135,7,196.173523,0.250927,20934.06408,0.76305,0.76305,198.918927,2.349758
0.51499,8,195.263953,0.250927,20830.052121,0.745977,0.745977,197.955743,2.427142
0.504483,9,195.032047,0.250927,20793.057603,0.74083,0.74083,197.437807,2.079857
0.552033,10,194.805831,0.250927,20783.61335,0.764499,0.764499,197.547399,2.808868
0.553392,11,194.447984,0.250927,20757.837353,0.765178,0.765178,197.521944,0.84326
0.515895,12,194.561418,0.250927,20764.844926,0.74643,0.74643,197.01063,1.928932
0.548954,13,194.493835,0.250927,20747.446567,0.762959,0.762959,197.320299,0.190045
0.55466,14,194.49689,0.250927,20755.016635,0.765812,0.765812,197.906621,-0.471078
0.549316,15,194.449125,0.250927,20743.360412,0.76314,0.76314,197.197155,1.554049
0.527851,16,194.122943,0.250927,20716.443267,0.752408,0.752408,197.155038,1.387963
0.546146,17,194.371925,0.250927,20731.042591,0.761359,0.761359,197.186743,3.153691
0.557286,18,194.407598,0.250927,20736.982646,0.767473,0.767473,197.302543,0.509449
0.515442,19,194.511823,0.250927,20760.174528,0.746204,0.746204,196.927219,-4.1987
0.526673,20,194.111921,0.250927,20717.801842,0.75197,0.75197,196.636452,-10.43102
0.548682,21,194.222743,0.250927,20745.276084,0.762884,0.762884,196.841654,-14.668497
0.511638,22,194.696566,0.250927,20769.337355,0.744317,0.744317,196.808508,-15.647915
0.553482,23,194.178418,0.250927,20733.285571,0.765224,0.765224,196.646378,-13.410239
0.557558,24,194.005107,0.250927,20732.876653,0.766748,0.766748,196.533415,-8.482121
0.555022,25,193.999374,0.250927,20732.05852,0.766144,0.766144,196.749199,-8.433427
0.548139,26,195.489296,0.250927,20893.135686,0.762567,0.762567,196.595521,-6.273025
0.512182,27,194.069734,0.250927,20744.185483,0.744543,0.744543,196.706542,-6.443816
0.525224,28,193.754294,0.250927,20662.444334,0.751276,0.751276,196.616785,-5.97436
0.51182,29,193.908231,0.250927,20684.477464,0.744347,0.744347,196.226094,-8.26062
0.513631,30,194.206121,0.250927,20666.2954,0.745298,0.745298,195.247688,-8.24293
