accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.560094,1,213.998353,0.239511,22960.929056,0.767986,0.767986,215.983772,0.750684
0.543248,2,213.584112,0.241326,22917.674415,0.759895,0.759895,215.81277,0.796529
0.428856,3,211.558103,0.245271,22659.73474,0.699801,0.699801,214.357585,0.975378
0.516076,4,202.371204,0.196783,21432.457975,0.746339,0.746339,206.391871,3.926875
0.488724,5,200.396145,0.171726,21262.563735,0.732844,0.732844,201.646181,6.209079
0.501223,6,197.711269,0.221146,21082.454275,0.739094,0.739094,199.442462,5.412405
0.501585,7,195.971818,0.2177,20914.841027,0.739275,0.739275,197.91997,5.459187
0.550222,8,194.741496,0.237666,20769.390928,0.763593,0.763593,197.321965,5.345624
0.521148,9,194.4436,0.24621,20745.508227,0.749057,0.749057,197.463843,3.292313
0.550946,10,194.382872,0.247183,20741.700629,0.763956,0.763956,196.848742,2.956465
0.528032,11,194.502316,0.213593,20762.803956,0.752498,0.752498,197.198553,3.576149
0.546599,12,194.333745,0.226813,20742.168629,0.761782,0.761782,197.287138,4.500125
0.551852,13,194.207376,0.164456,20744.570017,0.764408,0.764408,197.046789,5.740901
0.558917,14,194.589673,0.185297,20757.369739,0.767941,0.767941,197.131657,6.708882
0.552033,15,194.260166,0.158452,20752.929515,0.764499,0.764499,197.182035,7.977834
0.519428,16,194.093611,0.18241,20725.829022,0.748196,0.748196,196.911828,7.486772
0.555203,17,194.26385,0.246547,20740.624412,0.766084,0.766084,196.940749,7.246604
0.505751,18,194.146113,0.238169,20714.289229,0.741358,0.741358,196.323122,7.892067
0.558102,19,194.343243,0.163905,20691.147638,0.767533,0.767533,196.599833,9.647926
0.515261,20,193.933556,0.250145,20620.374851,0.746113,0.746113,195.981373,8.089781
0.543067,21,193.635316,0.245302,20607.518942,0.760001,0.760001,195.964277,9.378324
0.500045,22,194.528913,0.250631,20686.714168,0.738007,0.738007,196.120701,9.589878
0.514627,23,193.559246,0.250462,20616.804138,0.745268,0.745268,195.896856,9.0533
0.543338,24,194.065795,0.203509,20649.411125,0.759986,0.759986,195.817008,9.815847
0.548954,25,193.995219,0.250927,20647.692918,0.762959,0.762959,196.088758,10.258989
0.514265,26,194.163068,0.249912,20679.215608,0.745615,0.745615,195.9877,10.566785
0.541346,27,193.805753,0.245454,20627.031318,0.759155,0.759155,195.895286,11.667573
0.54515,28,193.244225,0.104405,20570.626002,0.76065,0.76065,195.393512,10.282294
0.54352,29,194.171801,0.125302,20660.667855,0.760076,0.760076,195.651818,12.96929
0.502128,30,193.668114,0.144682,20614.931003,0.739577,0.739577,195.471429,13.365939
