accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.55149,1,213.981431,0.250927,22958.689272,0.763699,0.763699,215.378949,0.729562
0.507563,2,213.443732,0.250927,22901.030164,0.742264,0.742264,215.235375,0.738261
0.503034,3,209.402209,0.250927,22449.267713,0.739954,0.739954,213.105827,0.823497
0.498958,4,199.903676,0.250927,21269.059368,0.737962,0.737962,204.747003,1.84554
0.503034,5,200.213223,0.250927,21314.796778,0.739999,0.739999,202.068605,1.557171
0.537451,6,197.61661,0.250927,21078.073255,0.757027,0.757027,199.556931,1.646336
0.546961,7,195.793757,0.250927,20904.743636,0.761978,0.761978,197.867762,1.242549
0.55149,8,194.920135,0.250927,20805.514174,0.764227,0.764227,197.979465,1.608428
0.559007,9,194.69356,0.250927,20750.169904,0.76782,0.76782,197.543279,1.002833
0.551671,10,194.452385,0.250927,20739.400096,0.764318,0.764318,197.375919,-0.92613
0.558373,11,194.341549,0.250927,20734.81765,0.767669,0.767669,197.210781,-2.523459
0.559641,12,194.387707,0.250927,20742.797016,0.768303,0.768303,197.086662,-2.459669
0.561272,13,194.310108,0.250927,20731.773973,0.769118,0.769118,196.798382,-3.105259
0.525768,14,194.308142,0.250927,20743.091766,0.751366,0.751366,197.35002,-2.691237
0.526583,15,194.457803,0.250927,20744.35588,0.751774,0.751774,197.40489,-5.164346
0.556381,16,194.387067,0.250927,20731.53901,0.766673,0.766673,197.222867,-5.380209
0.547324,17,194.384644,0.250927,20737.182881,0.762144,0.762144,197.016851,-5.386056
0.553392,18,194.078241,0.250927,20717.784577,0.764997,0.764997,197.240075,-4.937212
0.562721,19,194.66151,0.250927,20747.563956,0.769843,0.769843,197.0767,-4.134101
0.51816,20,194.392924,0.250927,20742.573178,0.747396,0.747396,197.223606,-3.648413
0.552577,21,193.940903,0.250927,20692.267013,0.764771,0.764771,196.715433,-3.612097
0.508378,22,193.583583,0.250927,20599.060629,0.742671,0.742671,197.028464,-5.244756
0.518884,23,193.680523,0.250927,20614.158575,0.747502,0.747502,196.297608,-7.067082
0.547142,24,193.786269,0.250927,20621.632606,0.761888,0.761888,196.228129,-7.216841
0.556834,25,193.914145,0.250927,20660.755723,0.766899,0.766899,195.586621,-6.802048
0.547958,26,194.165226,0.250927,20641.014818,0.76225,0.76225,195.906153,-4.329345
0.503849,27,194.417586,0.250927,20655.149794,0.740407,0.740407,195.739917,-4.186879
0.505298,28,193.585139,0.250927,20591.922613,0.741132,0.741132,195.705611,-4.662841
0.540621,29,194.283717,0.250927,20685.760445,0.758793,0.758793,195.671728,-4.351621
0.551128,30,193.966005,0.250927,20622.921671,0.76388,0.76388,195.636946,-4.396902
