accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.55149,1,213.981431,0.238886,22958.689271,0.763699,0.763699,215.378949,0.736139
0.507563,2,213.443737,0.23875,22901.030195,0.742264,0.742264,215.235375,0.73317
0.503034,3,209.402486,0.238648,22449.291739,0.739954,0.739954,213.105828,0.730998
0.500136,4,199.970713,0.236202,21268.089805,0.73855,0.73855,204.746488,0.68469
0.503034,5,200.212289,0.235215,21275.316778,0.739999,0.739999,202.048576,0.691937
0.49914,6,197.686562,0.235635,21039.168842,0.737871,0.737871,199.386472,0.710584
0.548863,7,195.352076,0.228732,20865.410233,0.762914,0.762914,197.691664,0.594649
0.548863,8,194.859109,0.226102,20796.752917,0.76311,0.76311,197.948422,0.568154
0.558102,9,194.77447,0.231961,20762.01537,0.767533,0.767533,197.615414,0.632074
0.54669,10,194.475835,0.235365,20744.302329,0.761827,0.761827,197.417834,0.678286
0.546508,11,194.272991,0.234724,20735.140621,0.761737,0.761737,197.170571,0.667467
0.55475,12,194.504915,0.237807,20761.794908,0.765858,0.765858,197.137124,0.722797
0.555747,13,194.238453,0.242848,20724.777724,0.766356,0.766356,196.815924,0.841364
0.514627,14,194.45033,0.243268,20754.723006,0.745796,0.745796,197.346995,0.855008
0.518522,15,194.486357,0.244534,20740.031467,0.747607,0.747607,197.432602,0.90145
0.557196,16,194.450823,0.244765,20736.398655,0.76708,0.76708,197.24213,0.912438
0.544063,17,194.425807,0.243941,20749.414629,0.760514,0.760514,197.039262,0.881107
0.54995,18,194.28761,0.243356,20737.441611,0.763457,0.763457,197.265216,0.857618
0.560547,19,194.287771,0.242414,20740.438172,0.768756,0.768756,197.065339,0.828988
0.559007,20,194.276342,0.242138,20737.250315,0.767986,0.767986,197.172256,0.83402
0.556834,21,194.127987,0.241199,20732.960857,0.766899,0.766899,196.774616,0.84126
0.557558,22,194.224119,0.238953,20743.426053,0.767261,0.767261,197.587398,0.840198
0.56109,23,195.120028,0.240747,20800.450226,0.769028,0.769028,197.50308,0.845798
0.560819,24,194.528053,0.241183,20742.309729,0.76868,0.76868,197.451808,0.834538
0.54515,25,194.262288,0.238757,20733.447387,0.760846,0.760846,196.691757,0.824168
0.550946,26,193.89846,0.241103,20685.869773,0.763518,0.763518,196.743077,0.837372
0.504121,27,193.858671,0.241759,20621.285359,0.740377,0.740377,196.235885,0.840792
0.541708,28,193.476594,0.241839,20599.106446,0.759336,0.759336,196.404123,0.841895
0.504483,29,193.874149,0.242361,20652.265934,0.740784,0.740784,196.123288,0.854227
0.560819,30,194.104413,0.243357,20636.747309,0.768892,0.768892,196.179667,0.890688
