distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
,,1,,0.997133,,,,,,,,,,,,,,,1.584098,1.634639
,,2,,0.997133,,,,,,,,,,,,,,,1.546791,1.560884
,,3,,0.997133,,,,,,,,,,,,,,,1.467287,1.592473
,,4,,0.997121,,,,,,,,,,,,,,,1.387776,1.597554
,,5,,0.997121,,,,,,,,,,,,,,,1.299721,1.565381
,,6,,0.997133,,,,,,,,,,,,,,,1.206603,1.571144
,,7,,0.997099,,,,,,,,,,,,,,,1.103951,1.580823
,,8,,0.997087,,,,,,,,,,,,,,,1.005993,1.578426
,,9,,0.997133,,,,,,,,,,,,,,,0.903751,1.563668
,,10,,0.997121,,,,,,,,,,,,,,,0.816808,1.57193
,,11,,0.997099,,,,,,,,,,,,,,,0.739295,1.599254
,,12,,0.997133,,,,,,,,,,,,,,,0.663639,1.582645
,,13,,0.997133,,,,,,,,,,,,,,,0.596,1.595566
,,14,,0.997127,,,,,,,,,,,,,,,0.541409,1.614016
,,15,,0.997116,,,,,,,,,,,,,,,0.491049,1.590727
,,16,,0.997087,,,,,,,,,,,,,,,0.454284,1.597148
,,17,,0.99711,,,,,,,,,,,,,,,0.420681,1.584698
,,18,,0.997133,,,,,,,,,,,,,,,0.396207,1.612533
,,19,,0.997133,,,,,,,,,,,,,,,0.373903,1.603677
,,20,,0.997099,,,,,,,,,,,,,,,0.358938,1.593289
,,21,,0.997133,,,,,,,,,,,,,,,0.338383,1.595268
,,22,,0.997127,,,,,,,,,,,,,,,0.329926,1.59228
,,23,,0.997116,,,,,,,,,,,,,,,0.318,1.605831
,,24,,0.997104,,,,,,,,,,,,,,,0.311265,1.61924
,,25,,0.997121,,,,,,,,,,,,,,,0.302107,1.640759
,,26,,0.997116,,,,,,,,,,,,,,,0.296983,1.636424
,,27,,0.997116,,,,,,,,,,,,,,,0.291021,1.642141
,,28,,0.997121,,,,,,,,,,,,,,,0.284634,1.664067
,,29,,0.997116,,,,,,,,,,,,,,,0.278988,1.669077
0.744926,0.744926,30,3.052827,0.997291,0.657619,0.640285,0.255074,0.255074,0.665866,0.447662,0.255074,0.657619,0.447662,0.447662,0.468606,0.666327,1.0,0.255074,0.277269,1.646628
