distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
,,1,,0.983173,,,,,,,,,,,,,,,1.585627,3.034083
,,2,,0.957795,,,,,,,,,,,,,,,1.554205,2.2058
,,3,,0.778103,,,,,,,,,,,,,,,1.473258,-1.469382
,,4,,0.781575,,,,,,,,,,,,,,,1.386948,-1.468585
,,5,,0.767225,,,,,,,,,,,,,,,1.300767,-2.366085
,,6,,0.775721,,,,,,,,,,,,,,,1.201108,-2.307315
,,7,,0.770667,,,,,,,,,,,,,,,1.099598,-2.588002
,,8,,0.782692,,,,,,,,,,,,,,,0.995369,-2.042348
,,9,,0.785203,,,,,,,,,,,,,,,0.903988,-2.059223
,,10,,0.788396,,,,,,,,,,,,,,,0.8163,-1.973213
,,11,,0.796412,,,,,,,,,,,,,,,0.732558,-1.608649
,,12,,0.798003,,,,,,,,,,,,,,,0.665199,-1.561348
,,13,,0.80172,,,,,,,,,,,,,,,0.599125,-1.398543
,,14,,0.809608,,,,,,,,,,,,,,,0.545364,-1.083727
,,15,,0.807799,,,,,,,,,,,,,,,0.499261,-1.172035
,,16,,0.808207,,,,,,,,,,,,,,,0.463364,-1.217341
,,17,,0.798796,,,,,,,,,,,,,,,0.433057,-1.783612
,,18,,0.803922,,,,,,,,,,,,,,,0.407819,-1.62804
,,19,,0.799436,,,,,,,,,,,,,,,0.385909,-1.689843
,,20,,0.795454,,,,,,,,,,,,,,,0.364474,-1.889696
,,21,,0.797857,,,,,,,,,,,,,,,0.35038,-1.865908
,,22,,0.790769,,,,,,,,,,,,,,,0.336159,-2.2997
,,23,,0.795078,,,,,,,,,,,,,,,0.325437,-2.04964
,,24,,0.792923,,,,,,,,,,,,,,,0.316892,-2.192217
,,25,,0.788949,,,,,,,,,,,,,,,0.311162,-2.348941
,,26,,0.790988,,,,,,,,,,,,,,,0.30214,-2.25234
,,27,,0.793184,,,,,,,,,,,,,,,0.296278,-2.124327
,,28,,0.786967,,,,,,,,,,,,,,,0.291923,-2.513632
,,29,,0.784986,,,,,,,,,,,,,,,0.285029,-2.613107
0.758062,0.571205,30,3.095856,0.772346,0.659946,0.642257,0.241938,0.241938,0.668453,0.450968,0.251716,0.659946,0.450968,0.450968,0.470581,0.672733,1.0,0.194166,0.280589,-3.467725
