distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
,,1,,0.997104,,,,,,,,,,,,,,,1.585644,1.632769
,,2,,0.997121,,,,,,,,,,,,,,,1.554166,1.642655
,,3,,0.997133,,,,,,,,,,,,,,,1.473313,1.65282
,,4,,0.997116,,,,,,,,,,,,,,,1.387601,1.656555
,,5,,0.997133,,,,,,,,,,,,,,,1.301553,1.657686
,,6,,0.997116,,,,,,,,,,,,,,,1.201989,1.688013
,,7,,0.997081,,,,,,,,,,,,,,,1.100585,1.707409
,,8,,0.99711,,,,,,,,,,,,,,,0.995995,1.636618
,,9,,0.997133,,,,,,,,,,,,,,,0.90425,1.546712
,,10,,0.997116,,,,,,,,,,,,,,,0.816504,1.594343
,,11,,0.997133,,,,,,,,,,,,,,,0.731973,1.527438
,,12,,0.997104,,,,,,,,,,,,,,,0.666029,1.427938
,,13,,0.997133,,,,,,,,,,,,,,,0.601225,1.552559
,,14,,0.997121,,,,,,,,,,,,,,,0.546567,1.506529
,,15,,0.997121,,,,,,,,,,,,,,,0.499101,1.533587
,,16,,0.997121,,,,,,,,,,,,,,,0.4613,1.499256
,,17,,0.997133,,,,,,,,,,,,,,,0.433385,1.586887
,,18,,0.997121,,,,,,,,,,,,,,,0.404505,1.507635
,,19,,0.997133,,,,,,,,,,,,,,,0.383433,1.441214
,,20,,0.997121,,,,,,,,,,,,,,,0.363294,1.44238
,,21,,0.997116,,,,,,,,,,,,,,,0.350844,1.390983
,,22,,0.997133,,,,,,,,,,,,,,,0.33713,1.505069
,,23,,0.997121,,,,,,,,,,,,,,,0.326766,1.374041
,,24,,0.997099,,,,,,,,,,,,,,,0.316804,1.487833
,,25,,0.997116,,,,,,,,,,,,,,,0.307608,1.111242
,,26,,0.997133,,,,,,,,,,,,,,,0.303197,1.278436
,,27,,0.997087,,,,,,,,,,,,,,,0.296033,1.222293
,,28,,0.997116,,,,,,,,,,,,,,,0.290628,1.390917
,,29,,0.99711,,,,,,,,,,,,,,,0.284783,1.625976
0.739438,0.739438,30,3.12604,0.997291,0.658454,0.640712,0.260562,0.260562,0.668519,0.447655,0.260562,0.658454,0.447655,0.447655,0.467904,0.671831,1.0,0.260562,0.281386,1.625111
