distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
,,1,,0.983373,,,,,,,,,,,,,,,1.586004,3.024086
,,2,,0.982958,,,,,,,,,,,,,,,1.546853,2.993667
,,3,,0.982318,,,,,,,,,,,,,,,1.465649,2.946183
,,4,,0.981676,,,,,,,,,,,,,,,1.38699,2.901732
,,5,,0.98117,,,,,,,,,,,,,,,1.304977,2.868324
,,6,,0.981025,,,,,,,,,,,,,,,1.205059,2.864257
,,7,,0.980646,,,,,,,,,,,,,,,1.103935,2.854056
,,8,,0.979858,,,,,,,,,,,,,,,1.002592,2.914445
,,9,,0.975078,,,,,,,,,,,,,,,0.906534,2.922941
,,10,,0.969477,,,,,,,,,,,,,,,0.818409,2.79763
,,11,,0.963868,,,,,,,,,,,,,,,0.738623,2.722032
,,12,,0.959157,,,,,,,,,,,,,,,0.669294,2.447838
,,13,,0.954178,,,,,,,,,,,,,,,0.60465,2.259208
,,14,,0.951238,,,,,,,,,,,,,,,0.54824,2.301959
,,15,,0.949188,,,,,,,,,,,,,,,0.504264,2.127926
,,16,,0.940921,,,,,,,,,,,,,,,0.462912,1.7835
,,17,,0.933951,,,,,,,,,,,,,,,0.42989,1.573923
,,18,,0.936329,,,,,,,,,,,,,,,0.40255,1.831116
,,19,,0.928795,,,,,,,,,,,,,,,0.383163,1.484207
,,20,,0.923776,,,,,,,,,,,,,,,0.363857,1.313206
,,21,,0.927019,,,,,,,,,,,,,,,0.347423,1.425812
,,22,,0.91942,,,,,,,,,,,,,,,0.334739,1.236187
,,23,,0.923731,,,,,,,,,,,,,,,0.323863,1.409546
,,24,,0.920111,,,,,,,,,,,,,,,0.313461,1.2814
,,25,,0.92082,,,,,,,,,,,,,,,0.306042,1.311081
,,26,,0.913202,,,,,,,,,,,,,,,0.299413,1.072728
,,27,,0.902218,,,,,,,,,,,,,,,0.295115,0.787624
,,28,,0.907655,,,,,,,,,,,,,,,0.288336,0.979166
,,29,,0.90463,,,,,,,,,,,,,,,0.283966,0.916031
0.736058,0.669686,30,3.174076,0.906619,0.659691,0.641443,0.263942,0.263942,0.665831,0.448315,0.263942,0.659691,0.448315,0.448315,0.470604,0.671208,1.0,0.239571,0.280729,0.950214
