domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,edge_warrant_gate_std,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_gate_grad_norm,edge_attention_grad_norm,permission_grad_norm,attention_parameter_grad_norm,inference_native_primary,inference_g1_primary,inference_g1_delta,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
tkg,gdelt,xERTE,scalar_gate,metric_path_query_scalar_gate,7,completed,5.215553,6.236718,0.142615,mrr,higher,0.087733,,,0.142615,,,,,,,,,,,,,0.973152,4.426003,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,54.182332,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/scalar_gate/seed_7
mtpp,retweets,THP,scalar_gate,metric_path_query_scalar_gate,7,completed,194.731537,193.853831,0.763397,mark_mrr,higher,0.550312,,0.763397,,,,,,,,,,,,20651.167756,,0.245722,0.954281,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,63.072568,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/scalar_gate/seed_7
stpp,earthquake,DeepSTPP,scalar_gate,metric_path_query_scalar_gate,7,completed,3.558692,3.589525,0.984058,rmse_location,lower,,,,,,,,,,,,,,3.589525,0.319804,0.984058,0.950176,2.924106,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,89.273151,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/scalar_gate/seed_7
tkg,gdelt,xERTE,item_only_gate,metric_path_item_only_gate,7,completed,5.216043,6.236944,0.14254,mrr,higher,0.087809,,,0.14254,,,,,,,,,,,,,0.88682,1.620234,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,49.702553,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/item_only_gate/seed_7
mtpp,retweets,THP,item_only_gate,metric_path_item_only_gate,7,completed,196.144852,194.167848,0.764363,mark_mrr,higher,0.552667,,0.764363,,,,,,,,,,,,20703.30227,,0.08382,-0.670053,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,61.943274,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/item_only_gate/seed_7
tkg,gdelt,xERTE,normalized_gate,metric_path_normalized_query_item_gate,7,completed,5.288222,6.221997,0.143124,mrr,higher,0.08819,,,0.143124,,,,,,,,,,,,,1.0,-1.48112,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,56.107903,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/normalized_gate/seed_7
stpp,earthquake,DeepSTPP,item_only_gate,metric_path_item_only_gate,7,completed,3.561262,3.610612,1.005416,rmse_location,lower,,,,,,,,,,,,,,3.610612,0.323952,1.005416,0.689856,1.81282,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,87.894286,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/item_only_gate/seed_7
mtpp,retweets,THP,normalized_gate,metric_path_normalized_query_item_gate,7,completed,194.163609,195.18438,0.738777,mark_mrr,higher,0.500589,,0.738777,,,,,,,,,,,,20788.090068,,0.250927,3.746838,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,65.433733,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/normalized_gate/seed_7
tkg,gdelt,xERTE,attention_adapter,metric_path_attention_reweighting_control,7,completed,5.278133,6.23109,0.1428,mrr,higher,0.087351,,,0.1428,,,,,,,,,,,,,1.0,0.866118,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,54.935367,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/attention_adapter/seed_7
mtpp,retweets,THP,attention_adapter,metric_path_attention_reweighting_control,7,completed,195.247688,194.206121,0.745298,mark_mrr,higher,0.513631,,0.745298,,,,,,,,,,,,20666.2954,,0.250927,-8.24293,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,69.660787,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/attention_adapter/seed_7
stpp,earthquake,DeepSTPP,normalized_gate,metric_path_normalized_query_item_gate,7,completed,3.559834,3.616863,1.01041,rmse_location,lower,,,,,,,,,,,,,,3.616863,0.319698,1.01041,0.998291,1.44014,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,94.305773,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/normalized_gate/seed_7
tkg,gdelt,xERTE,scalar_gate,metric_path_query_scalar_gate,17,completed,5.238071,6.261257,0.143252,mrr,higher,0.089411,,,0.143252,,,,,,,,,,,,,0.977627,3.872171,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,59.995281,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/scalar_gate/seed_17
mtpp,retweets,THP,scalar_gate,metric_path_query_scalar_gate,17,completed,195.692653,194.119998,0.739999,mark_mrr,higher,0.503034,,0.739999,,,,,,,,,,,,20645.12185,,0.244251,0.919926,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,66.708958,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/scalar_gate/seed_17
tkg,gdelt,xERTE,item_only_gate,metric_path_item_only_gate,17,completed,5.238384,6.260869,0.143055,mrr,higher,0.08903,,,0.143055,,,,,,,,,,,,,0.859409,1.264645,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,60.46071,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/item_only_gate/seed_17
stpp,earthquake,DeepSTPP,attention_adapter,metric_path_attention_reweighting_control,7,completed,3.559899,3.615782,1.009083,rmse_location,lower,,,,,,,,,,,,,,3.615782,0.324624,1.009083,0.998291,2.383541,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,96.586571,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/attention_adapter/seed_7
mtpp,retweets,THP,item_only_gate,metric_path_item_only_gate,17,completed,195.471429,193.668114,0.739577,mark_mrr,higher,0.502128,,0.739577,,,,,,,,,,,,20614.931003,,0.144682,13.365939,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,66.635612,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/item_only_gate/seed_17
tkg,gdelt,xERTE,normalized_gate,metric_path_normalized_query_item_gate,17,completed,5.316012,6.245772,0.144066,mrr,higher,0.091089,,,0.144066,,,,,,,,,,,,,1.0,-1.839997,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,63.985663,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/normalized_gate/seed_17
mtpp,retweets,THP,normalized_gate,metric_path_normalized_query_item_gate,17,completed,195.567652,193.644964,0.753449,mark_mrr,higher,0.529934,,0.753449,,,,,,,,,,,,20609.077545,,0.250927,16.009432,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,70.78488,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/normalized_gate/seed_17
stpp,earthquake,DeepSTPP,scalar_gate,metric_path_query_scalar_gate,17,completed,3.53459,3.763579,1.160601,rmse_location,lower,,,,,,,,,,,,,,3.763579,0.331085,1.160601,0.949259,2.904257,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,96.324661,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/scalar_gate/seed_17
tkg,gdelt,xERTE,attention_adapter,metric_path_attention_reweighting_control,17,completed,5.309666,6.247479,0.142826,mrr,higher,0.088801,,,0.142826,,,,,,,,,,,,,1.0,0.759382,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,65.924528,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/attention_adapter/seed_17
ctdg,lastfm,DyGFormer,scalar_gate,metric_path_query_scalar_gate,7,completed,0.211252,0.60052,0.903768,auc,higher,0.826366,0.903768,,,,,,,,,,,,,,,1.0,0.0,0.996713,2.647796,,,,0.0,0.0,,,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,514.299468,experiments/permission_decomposition/outputs_full_controls/ctdg/lastfm/DyGFormer/scalar_gate/seed_7
