epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.200303,0.998291,4.200303,0.412892,0.878246,0.878246,4.563279,2.916057
2,4.381686,0.998291,4.381686,0.373752,1.228947,1.228947,4.312469,2.854436
3,4.157904,0.998291,4.157904,0.355922,1.031721,1.031721,4.266697,2.826034
4,4.091289,0.998291,4.091289,0.330371,0.93529,0.93529,4.201062,2.686473
5,4.077047,0.998291,4.077047,0.330921,1.008153,1.008153,4.154201,2.527527
6,4.204759,0.998291,4.204759,0.34822,1.170311,1.170311,4.140356,2.481272
7,4.166302,0.998291,4.166302,0.366152,1.065087,1.065087,4.111212,2.281301
8,4.04957,0.998291,4.04957,0.344885,1.047156,1.047156,4.057525,2.161935
9,4.048604,0.998291,4.048604,0.356197,1.04518,1.04518,4.037751,2.166122
10,3.950551,0.998291,3.950551,0.343266,0.983859,0.983859,4.030344,2.30323
11,3.942586,0.998291,3.942586,0.334887,0.999475,0.999475,3.994887,1.958064
12,3.96013,0.998291,3.96013,0.331925,1.042986,1.042986,3.958911,1.981485
13,4.10497,0.998291,4.10497,0.375585,1.180731,1.180731,3.930761,1.794882
14,3.943182,0.998291,3.943182,0.345109,1.037096,1.037096,3.920002,1.80548
15,3.986503,0.998291,3.986503,0.319848,1.136195,1.136195,3.885565,2.074327
16,3.805497,0.998291,3.805497,0.30338,1.007667,1.007667,3.863956,1.776862
17,3.780445,0.998291,3.780445,0.309585,0.98125,0.98125,3.836954,1.726851
18,3.919951,0.998291,3.919951,0.335514,1.119015,1.119015,3.808943,0.884336
19,3.952314,0.998291,3.952314,0.325191,1.166217,1.166217,3.793084,-0.328564
20,3.765512,0.998291,3.765512,0.332776,1.04914,1.04914,3.761941,0.119444
21,3.821928,0.998291,3.821928,0.347124,1.099437,1.099437,3.740311,0.12948
22,3.71995,0.998291,3.71995,0.337425,1.042601,1.042601,3.712453,-0.735627
23,3.867956,0.998291,3.867956,0.395857,1.144711,1.144711,3.690611,0.249609
24,3.755047,0.998291,3.755047,0.329771,1.097761,1.097761,3.667211,-0.615991
25,3.799806,0.998291,3.799806,0.33843,1.120425,1.120425,3.647111,-0.970449
26,3.778905,0.998291,3.778905,0.333037,1.142266,1.142266,3.622941,0.08233
27,3.561775,0.998291,3.561775,0.323001,0.958929,0.958929,3.605244,-0.668316
28,3.670559,0.998291,3.670559,0.319979,1.066791,1.066791,3.570602,-0.132284
29,3.751326,0.998291,3.751326,0.321397,1.173002,1.173002,3.557627,0.431977
30,3.741397,0.998291,3.741397,0.328334,1.138922,1.138922,3.534754,-0.181132
