epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.200333,0.964391,4.200333,0.412907,0.87832,0.87832,4.56329,3.289941
2,4.381887,0.970095,4.381887,0.373754,1.229111,1.229111,4.312454,3.526809
3,4.157487,0.974807,4.157487,0.355868,1.031166,1.031166,4.266766,3.685132
4,4.091316,0.974465,4.091316,0.330098,0.935606,0.935606,4.201117,3.671176
5,4.076721,0.973586,4.076721,0.330875,1.007866,1.007866,4.154246,3.656469
6,4.206873,0.969891,4.206873,0.347531,1.17219,1.17219,4.140411,3.534161
7,4.166075,0.976281,4.166075,0.365747,1.065385,1.065385,4.111139,3.818444
8,4.050593,0.976389,4.050593,0.344665,1.048299,1.048299,4.057477,3.778745
9,4.048834,0.975173,4.048834,0.355794,1.045165,1.045165,4.03774,3.728261
10,3.950922,0.978229,3.950922,0.342177,0.984487,0.984487,4.030284,3.85407
11,3.94266,0.97716,3.94266,0.335468,0.999315,0.999315,3.994842,3.796165
12,3.960787,0.97296,3.960787,0.331409,1.043752,1.043752,3.958979,3.645405
13,4.103005,0.976474,4.103005,0.376355,1.178732,1.178732,3.930716,3.775282
14,3.942547,0.970629,3.942547,0.34338,1.036952,1.036952,3.91998,3.588792
15,3.98572,0.97427,3.98572,0.32004,1.135264,1.135264,3.88556,3.736957
16,3.807377,0.96834,3.807377,0.302809,1.009794,1.009794,3.863898,3.514203
17,3.780064,0.96983,3.780064,0.309479,0.981728,0.981728,3.836861,3.575207
18,3.921055,0.971684,3.921055,0.335386,1.120163,1.120163,3.80884,3.640737
19,3.955604,0.971671,3.955604,0.327177,1.168541,1.168541,3.793232,3.630424
20,3.766645,0.969647,3.766645,0.333231,1.049395,1.049395,3.762113,3.560152
21,3.817011,0.969824,3.817011,0.340974,1.098994,1.098994,3.74041,3.57045
22,3.704979,0.967263,3.704979,0.335746,1.027264,1.027264,3.713237,3.475543
23,3.866545,0.96863,3.866545,0.375621,1.155683,1.155683,3.690657,3.543232
24,3.74969,0.964975,3.74969,0.328458,1.090759,1.090759,3.667428,3.401042
25,3.802047,0.955803,3.802047,0.337442,1.123514,1.123514,3.647338,3.195686
26,3.804561,0.953227,3.804561,0.335005,1.161911,1.161911,3.622376,3.161062
27,3.561194,0.95545,3.561194,0.322451,0.954487,0.954487,3.605021,3.199027
28,3.666081,0.957518,3.666081,0.322212,1.058749,1.058749,3.569941,3.269614
29,3.733715,0.957869,3.733715,0.322069,1.155847,1.155847,3.557671,3.252237
30,3.754777,0.950222,3.754777,0.327729,1.14833,1.14833,3.535364,3.138471
