epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.231577,0.998291,4.231577,0.434538,0.923118,0.923118,4.562831,2.866649
2,4.515279,0.998291,4.515279,0.365442,1.343427,1.343427,4.306642,2.777001
3,4.238377,0.998291,4.238377,0.340873,1.070597,1.070597,4.254856,2.760187
4,4.153089,0.998291,4.153089,0.357503,0.979393,0.979393,4.202179,2.969765
5,4.106584,0.998291,4.106584,0.332492,0.937335,0.937335,4.172977,3.045841
6,4.131842,0.998291,4.131842,0.31576,0.936024,0.936024,4.129305,3.023992
7,4.066793,0.998291,4.066793,0.327143,1.018637,1.018637,4.105428,3.044587
8,3.930331,0.998291,3.930331,0.304535,0.893895,0.893895,4.066392,3.032987
9,3.952146,0.998291,3.952146,0.313912,0.911562,0.911562,4.0333,3.026547
10,3.864102,0.998291,3.864102,0.30563,0.895561,0.895561,4.003109,3.079564
11,3.916576,0.998291,3.916576,0.321954,0.998806,0.998806,3.984314,3.154133
12,3.869542,0.998291,3.869542,0.343976,0.931126,0.931126,3.962098,3.097517
13,3.915864,0.998291,3.915864,0.354171,0.927146,0.927146,3.945849,3.076466
14,3.837355,0.998291,3.837355,0.32716,0.933651,0.933651,3.920839,3.057602
15,3.872541,0.998291,3.872541,0.338898,0.958537,0.958537,3.877417,3.165244
16,3.763443,0.998291,3.763443,0.309727,0.924855,0.924855,3.862691,3.293031
17,3.730732,0.998291,3.730732,0.314321,0.924319,0.924319,3.846826,3.495619
18,3.832408,0.998291,3.832408,0.330287,0.963435,0.963435,3.805162,3.492897
19,3.69463,0.998291,3.69463,0.321623,0.897216,0.897216,3.786104,3.450166
20,3.7167,0.998291,3.7167,0.313942,0.927889,0.927889,3.777898,3.33139
21,3.715686,0.998291,3.715686,0.345448,0.968828,0.968828,3.738706,2.943272
22,3.685589,0.998291,3.685589,0.321593,0.951365,0.951365,3.706622,2.467494
23,3.867797,0.998291,3.867797,0.313983,1.075428,1.075428,3.68936,2.166532
24,3.674225,0.998291,3.674225,0.312966,1.011818,1.011818,3.667914,1.818175
25,3.687236,0.998291,3.687236,0.311725,0.972209,0.972209,3.646219,2.261266
26,3.653308,0.998291,3.653308,0.325224,1.019224,1.019224,3.634748,1.587634
27,3.633228,0.998291,3.633228,0.316896,0.98643,0.98643,3.596476,1.383958
28,3.603618,0.998291,3.603618,0.327921,0.94873,0.94873,3.572734,-1.433253
29,3.523575,0.998291,3.523575,0.326189,0.935788,0.935788,3.549796,0.411025
30,3.616863,0.998291,3.616863,0.319698,1.01041,1.01041,3.559834,1.44014
