epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.200338,0.950879,4.200338,0.412908,0.878331,0.878331,4.563292,2.939568
2,4.381895,0.950866,4.381895,0.373766,1.229138,1.229138,4.312457,2.939264
3,4.157612,0.95085,4.157612,0.355867,1.031338,1.031338,4.266759,2.938922
4,4.091333,0.950826,4.091333,0.330061,0.935784,0.935784,4.201117,2.938386
5,4.077168,0.950808,4.077168,0.330859,1.00832,1.00832,4.154248,2.937975
6,4.206395,0.950799,4.206395,0.347534,1.171765,1.171765,4.140365,2.937797
7,4.166895,0.950737,4.166895,0.365569,1.06582,1.06582,4.111109,2.93642
8,4.051383,0.950702,4.051383,0.34488,1.048997,1.048997,4.057513,2.935646
9,4.049062,0.950664,4.049062,0.355862,1.04551,1.04551,4.037779,2.934796
10,3.950694,0.950615,3.950694,0.342498,0.984359,0.984359,4.030393,2.933721
11,3.943742,0.95056,3.943742,0.335677,1.000765,1.000765,3.994851,2.932518
12,3.962063,0.950534,3.962063,0.331535,1.045215,1.045215,3.959004,2.931939
13,4.103854,0.950505,4.103854,0.37571,1.179553,1.179553,3.930722,2.931291
14,3.943427,0.950418,3.943427,0.343549,1.037964,1.037964,3.919946,2.929389
15,3.983949,0.950433,3.983949,0.319563,1.134182,1.134182,3.885487,2.929723
16,3.806809,0.950385,3.806809,0.303018,1.009287,1.009287,3.863838,2.928673
17,3.778949,0.950315,3.778949,0.309473,0.980353,0.980353,3.836856,2.92713
18,3.921974,0.950292,3.921974,0.335964,1.120617,1.120617,3.808742,2.926635
19,3.956341,0.950248,3.956341,0.328616,1.169237,1.169237,3.793218,2.925672
20,3.763083,0.950159,3.763083,0.332801,1.046407,1.046407,3.762452,2.923708
21,3.81088,0.950119,3.81088,0.330896,1.100018,1.100018,3.73975,2.922842
22,3.697524,0.94999,3.697524,0.333162,1.018889,1.018889,3.713198,2.920026
23,3.856351,0.949905,3.856351,0.347693,1.164745,1.164745,3.690271,2.918197
24,3.73247,0.94977,3.73247,0.329171,1.06909,1.06909,3.667954,2.91525
25,3.803464,0.949676,3.803464,0.325703,1.113673,1.113673,3.648253,2.913225
26,3.821086,0.949556,3.821086,0.328441,1.172434,1.172434,3.62198,2.910629
27,3.552271,0.949338,3.552271,0.320747,0.942235,0.942235,3.604651,2.905937
28,3.667751,0.949421,3.667751,0.333164,1.063737,1.063737,3.569601,2.90774
29,3.719512,0.949235,3.719512,0.336682,1.133464,1.133464,3.556668,2.903729
30,3.763579,0.949259,3.763579,0.331085,1.160601,1.160601,3.53459,2.904257
