accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.079265,1,9.233441,1.0,0.106121,0.106121,14.115515,2.725703,1.0
0.082621,2,8.40788,1.0,0.116327,0.116327,9.169876,2.631361,1.0
0.083995,3,8.051759,1.0,0.121984,0.121984,8.51687,2.585671,1.0
0.087504,4,7.840158,1.0,0.126727,0.126727,8.151585,2.536254,1.0
0.087656,5,7.664321,1.0,0.129354,0.129354,7.890749,2.420619,1.0
0.088267,6,7.508965,1.0,0.131156,0.131156,7.68083,2.408595,1.0
0.08491,7,7.375703,1.0,0.131021,0.131021,7.504841,2.375279,1.0
0.08903,8,7.277249,1.0,0.134019,0.134019,7.342932,2.276094,1.0
0.088648,9,7.169117,1.0,0.13458,0.13458,7.186332,2.216304,1.0
0.087275,10,7.060798,1.0,0.134992,0.134992,7.049468,2.201546,1.0
0.08819,11,6.963359,1.0,0.136583,0.136583,6.886189,2.05269,1.0
0.086512,12,6.848412,1.0,0.136243,0.136243,6.737267,2.001462,1.0
0.087733,13,6.761142,1.0,0.137056,0.137056,6.595034,1.884749,1.0
0.084147,14,6.658116,1.0,0.136716,0.136716,6.452696,1.933715,1.0
0.088648,15,6.595035,1.0,0.139288,0.139288,6.320293,1.765602,1.0
0.085444,16,6.518749,1.0,0.138834,0.138834,6.194346,1.774751,1.0
0.087504,17,6.451128,1.0,0.140424,0.140424,6.091291,1.830344,1.0
0.088038,18,6.418812,1.0,0.141148,0.141148,5.997667,1.692417,1.0
0.086054,19,6.370673,1.0,0.14174,0.14174,5.909273,1.646712,1.0
0.089716,20,6.357404,1.0,0.142793,0.142793,5.833844,1.658049,1.0
0.087275,21,6.326056,1.0,0.142536,0.142536,5.764226,1.601756,1.0
0.087733,22,6.309016,1.0,0.142604,0.142604,5.702277,1.736554,1.0
0.087428,23,6.306655,1.0,0.143243,0.143243,5.639283,1.412833,1.0
0.088648,24,6.283434,1.0,0.14335,0.14335,5.593495,1.537245,1.0
0.089716,25,6.282187,1.0,0.143648,0.143648,5.551532,1.309203,1.0
0.086665,26,6.281128,1.0,0.142669,0.142669,5.504861,1.369131,1.0
0.08758,27,6.27809,1.0,0.143868,0.143868,5.454178,1.255715,1.0
0.087275,28,6.268182,1.0,0.143446,0.143446,5.421461,1.228947,1.0
0.086741,29,6.271254,1.0,0.142566,0.142566,5.374649,0.958083,1.0
0.087809,30,6.281397,1.0,0.142296,0.142296,5.343849,1.039055,1.0
