accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.066219,1,9.103899,0.96501,0.101411,0.101411,13.498807,3.066767,1.0
0.076823,2,8.344353,0.96564,0.114756,0.114756,8.990507,3.063629,1.0
0.083079,3,8.024007,0.962664,0.122317,0.122317,8.374659,3.023193,1.0
0.085825,4,7.810106,0.9613,0.126219,0.126219,8.045163,2.985059,1.0
0.084986,5,7.623189,0.960673,0.128468,0.128468,7.788249,2.943353,1.0
0.087809,6,7.478291,0.958971,0.131393,0.131393,7.581903,2.873999,1.0
0.088267,7,7.350304,0.957151,0.132606,0.132606,7.402307,2.831232,1.0
0.085825,8,7.220729,0.955065,0.132688,0.132688,7.231394,2.768442,1.0
0.087122,9,7.102613,0.952705,0.134682,0.134682,7.064927,2.706096,1.0
0.08758,10,6.981193,0.949078,0.135679,0.135679,6.89678,2.627477,1.0
0.086817,11,6.861957,0.946412,0.135992,0.135992,6.735151,2.578075,1.0
0.088953,12,6.758484,0.942269,0.138191,0.138191,6.577043,2.483029,1.0
0.08491,13,6.654943,0.93978,0.136987,0.136987,6.428977,2.441916,1.0
0.087885,14,6.576498,0.932462,0.139064,0.139064,6.297195,2.307525,1.0
0.086207,15,6.506142,0.924414,0.139104,0.139104,6.168282,2.166757,1.0
0.085215,16,6.457914,0.918974,0.139039,0.139039,6.061372,2.093165,1.0
0.082926,17,6.399239,0.908912,0.139185,0.139185,5.974078,1.948103,1.0
0.087046,18,6.364037,0.904414,0.140748,0.140748,5.878264,1.896464,1.0
0.084605,19,6.329363,0.889894,0.140334,0.140334,5.79496,1.684413,1.0
0.086436,20,6.30863,0.885742,0.140889,0.140889,5.730819,1.645961,1.0
0.085597,21,6.290507,0.876313,0.140708,0.140708,5.656742,1.546583,1.0
0.084986,22,6.283351,0.885405,0.141006,0.141006,5.598267,1.639099,1.0
0.087275,23,6.264592,0.880994,0.142566,0.142566,5.538327,1.602653,1.0
0.08697,24,6.264171,0.861734,0.141619,0.141619,5.495557,1.367926,1.0
0.089258,25,6.260595,0.871509,0.142031,0.142031,5.442683,1.481227,1.0
0.087351,26,6.248671,0.863499,0.144171,0.144171,5.403877,1.389169,1.0
0.086665,27,6.270468,0.864778,0.14264,0.14264,5.353602,1.368804,1.0
0.084529,28,6.254347,0.872543,0.142196,0.142196,5.31279,1.44091,1.0
0.083537,29,6.277424,0.869932,0.14074,0.14074,5.275529,1.390336,1.0
0.08903,30,6.260869,0.859409,0.143055,0.143055,5.238384,1.264645,1.0
