accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.074535,1,8.861206,1.0,0.107367,0.107367,12.929864,3.24591,1.0
0.085368,2,8.201803,1.0,0.120531,0.120531,8.87169,3.382475,1.0
0.085673,3,7.897388,1.0,0.124846,0.124846,8.326639,3.379201,1.0
0.087962,4,7.700297,1.0,0.128048,0.128048,8.013423,3.305715,1.0
0.087122,5,7.518058,1.0,0.129324,0.129324,7.775328,3.390577,1.0
0.08903,6,7.384727,1.0,0.131767,0.131767,7.565299,3.323044,1.0
0.089487,7,7.245947,1.0,0.133433,0.133433,7.374768,3.000092,1.0
0.087733,8,7.11926,1.0,0.133681,0.133681,7.202187,3.019841,1.0
0.089411,9,6.988471,1.0,0.135341,0.135341,7.035101,2.968119,1.0
0.091242,10,6.871028,1.0,0.137662,0.137662,6.849745,2.757558,1.0
0.090098,11,6.760786,1.0,0.136737,0.136737,6.684757,2.317088,1.0
0.084605,12,6.624664,1.0,0.136817,0.136817,6.517134,2.059309,1.0
0.087199,13,6.532746,1.0,0.138192,0.138192,6.370485,2.034753,1.0
0.087885,14,6.457279,1.0,0.139529,0.139529,6.239097,1.319529,1.0
0.088343,15,6.398579,1.0,0.13987,0.13987,6.126117,1.667582,1.0
0.085902,16,6.343839,1.0,0.140194,0.140194,6.029206,1.032898,1.0
0.085902,17,6.305021,1.0,0.141102,0.141102,5.933343,0.840854,1.0
0.087199,18,6.283101,1.0,0.141438,0.141438,5.857973,0.05568,1.0
0.08964,19,6.253064,1.0,0.143725,0.143725,5.788611,0.20998,1.0
0.090784,20,6.242612,1.0,0.144197,0.144197,5.733078,-0.424003,1.0
0.085673,21,6.22822,1.0,0.142375,0.142375,5.663748,-0.398267,1.0
0.085825,22,6.224839,1.0,0.141314,0.141314,5.619251,-0.707319,1.0
0.08903,23,6.219487,1.0,0.144688,0.144688,5.575794,-0.724958,1.0
0.088724,24,6.213193,1.0,0.144557,0.144557,5.530033,-0.91383,1.0
0.091471,25,6.211913,1.0,0.144149,0.144149,5.482811,-1.290609,1.0
0.091013,26,6.221237,1.0,0.143485,0.143485,5.446138,-1.121762,1.0
0.088419,27,6.204039,1.0,0.14364,0.14364,5.405188,-1.463438,1.0
0.086359,28,6.214991,1.0,0.143176,0.143176,5.359274,-1.305891,1.0
0.087428,29,6.226887,1.0,0.142922,0.142922,5.332066,-1.276061,1.0
0.08819,30,6.221997,1.0,0.143124,0.143124,5.288222,-1.48112,1.0
