accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.076442,1,9.233371,0.973936,0.105146,0.105146,14.036896,4.053575,1.0
0.082164,2,8.421953,0.972578,0.116357,0.116357,9.097905,4.172714,1.0
0.08285,3,8.067042,0.969327,0.121567,0.121567,8.450241,4.167786,1.0
0.087656,4,7.851502,0.969363,0.127039,0.127039,8.086623,4.212629,1.0
0.088496,5,7.677013,0.969953,0.129794,0.129794,7.82425,4.220152,1.0
0.088877,6,7.512889,0.971784,0.131481,0.131481,7.612496,4.188201,1.0
0.082011,7,7.389411,0.971835,0.129278,0.129278,7.433115,4.20629,1.0
0.087656,8,7.285272,0.970648,0.133395,0.133395,7.27752,4.240728,1.0
0.087428,9,7.179718,0.969017,0.134022,0.134022,7.122027,4.250125,1.0
0.085978,10,7.074225,0.966698,0.134259,0.134259,6.980705,4.234386,1.0
0.088419,11,6.979807,0.964718,0.136849,0.136849,6.824166,4.292963,1.0
0.083308,12,6.863991,0.963107,0.134654,0.134654,6.678051,4.281325,1.0
0.086588,13,6.780279,0.963005,0.136637,0.136637,6.537626,4.350322,1.0
0.083232,14,6.687915,0.962051,0.136054,0.136054,6.3982,4.350831,1.0
0.088496,15,6.620761,0.964872,0.139185,0.139185,6.269473,4.396211,1.0
0.085215,16,6.545182,0.966917,0.138375,0.138375,6.143375,4.37179,1.0
0.087733,17,6.48077,0.969081,0.140618,0.140618,6.039974,4.419799,1.0
0.082087,18,6.442553,0.968624,0.138121,0.138121,5.943454,4.441507,1.0
0.088038,19,6.393245,0.970616,0.141711,0.141711,5.85365,4.465539,1.0
0.090861,20,6.374553,0.969178,0.143221,0.143221,5.769953,4.530554,1.0
0.087199,21,6.346643,0.975114,0.141996,0.141996,5.703565,4.465946,1.0
0.087122,22,6.332079,0.974917,0.142095,0.142095,5.642079,4.530815,1.0
0.086741,23,6.327014,0.976326,0.142174,0.142174,5.573336,4.587442,1.0
0.087351,24,6.301652,0.977108,0.14225,0.14225,5.523075,4.693892,1.0
0.088953,25,6.295021,0.979522,0.142865,0.142865,5.480625,4.787058,1.0
0.087275,26,6.295347,0.98108,0.142051,0.142051,5.433967,4.831182,1.0
0.084986,27,6.302471,0.980003,0.141537,0.141537,5.383736,4.869303,1.0
0.089335,28,6.276063,0.980553,0.143683,0.143683,5.347136,4.930042,1.0
0.087275,29,6.298261,0.983598,0.142371,0.142371,5.305723,5.010225,1.0
0.086817,30,6.297577,0.981876,0.141648,0.141648,5.265959,5.113244,1.0
