accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.595171,0.640633,2.748254,1.0,1,0.664496,1.0,0.640633,0.700624,0.0
0.826823,0.877169,1.799022,1.0,2,0.414515,1.0,0.877169,0.538403,0.0
0.827167,0.886132,2.63905,1.0,3,0.40499,1.0,0.886132,0.459308,0.0
0.827624,0.890892,2.623902,1.0,4,0.401502,1.0,0.890892,0.442891,0.0
0.82484,0.892672,2.807802,1.0,5,0.396116,1.0,0.892672,0.434433,0.0
0.8306,0.897357,2.796309,1.0,6,0.390822,1.0,0.897357,0.424421,0.0
0.831172,0.896394,2.759173,1.0,7,0.391136,1.0,0.896394,0.41372,0.0
0.823695,0.898488,2.79638,1.0,8,0.391494,1.0,0.898488,0.403165,0.0
0.828807,0.899732,2.830475,1.0,9,0.388471,1.0,0.899732,0.390781,0.0
0.827701,0.901978,2.685646,1.0,10,0.389759,1.0,0.901978,0.382293,0.0
0.827701,0.900357,2.767489,1.0,11,0.392836,1.0,0.900357,0.372745,0.0
0.824725,0.901168,2.686397,1.0,12,0.392769,1.0,0.901168,0.361052,0.0
0.830943,0.902831,2.647078,1.0,13,0.410402,1.0,0.902831,0.349247,0.0
0.831172,0.904542,2.671786,1.0,14,0.399194,1.0,0.904542,0.337142,0.0
0.829226,0.901322,2.709832,1.0,15,0.43006,1.0,0.901322,0.328805,0.0
0.830905,0.902992,2.577379,1.0,16,0.428053,1.0,0.902992,0.323477,0.0
0.825908,0.900989,2.698489,1.0,17,0.4287,1.0,0.900989,0.309204,0.0
0.828349,0.903269,2.696846,1.0,18,0.451073,1.0,0.903269,0.301846,0.0
0.828998,0.901035,2.751328,1.0,19,0.456234,1.0,0.901035,0.293267,0.0
0.828998,0.90354,2.721443,1.0,20,0.464905,1.0,0.90354,0.286127,0.0
0.827891,0.903143,2.704406,1.0,21,0.461095,1.0,0.903143,0.272151,0.0
0.825183,0.900431,2.733028,1.0,22,0.475943,1.0,0.900431,0.2693,0.0
0.823734,0.898483,2.758292,1.0,23,0.525915,1.0,0.898483,0.262114,0.0
0.829875,0.904469,2.712829,1.0,24,0.486082,1.0,0.904469,0.256237,0.0
0.826709,0.900763,2.685188,1.0,25,0.521543,1.0,0.900763,0.247389,0.0
0.828158,0.902574,2.720444,1.0,26,0.540456,1.0,0.902574,0.236743,0.0
0.829913,0.901655,2.624441,1.0,27,0.519943,1.0,0.901655,0.2332,0.0
0.832202,0.903425,2.704399,1.0,28,0.504748,1.0,0.903425,0.228419,0.0
0.828425,0.903291,2.674607,1.0,29,0.577033,1.0,0.903291,0.225535,0.0
0.830409,0.905286,2.73478,1.0,30,0.558555,1.0,0.905286,0.219032,0.0
