accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_warrant_gate_mean,edge_warrant_gate_std,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
,,0.00139,0.000664,2.979305,0.3143,0.0,0.974851,0.000745,1,,0.767549,,0.701304,3.595669
,,0.021943,5.3e-05,1.627786,1.0,0.0,0.999907,2.3e-05,2,,0.787023,,0.538808,9.25435
,,0.008723,2e-06,1.610418,1.0,0.0,0.999997,1e-06,3,,0.787095,,0.458548,9.549224
,,0.007992,1e-06,2.164712,1.0,0.0,0.999997,1e-06,4,,0.786663,,0.445055,10.196014
,,0.0078,1e-06,2.209026,1.0,0.0,0.999997,1e-06,5,,0.786288,,0.434356,9.601957
,,0.008335,1e-06,2.213597,1.0,0.0,0.999997,1e-06,6,,0.786017,,0.424415,9.05986
,,0.009211,1e-06,2.239585,1.0,0.0,0.999997,1e-06,7,,0.783473,,0.415869,9.470442
,,0.00974,1e-06,2.140874,1.0,0.0,0.999997,1e-06,8,,0.786971,,0.402543,10.469841
,,0.009509,1e-06,2.12466,1.0,0.0,0.999997,1e-06,9,,0.78712,,0.39371,10.946783
,,0.009974,1e-06,2.11582,1.0,0.0,0.999997,1e-06,10,,0.786811,,0.384457,10.885552
,,0.010743,1e-06,2.04788,1.0,0.0,0.999997,1e-06,11,,0.786837,,0.369369,10.402757
,,0.010035,1e-06,2.07649,1.0,0.0,0.999997,2e-06,12,,0.786682,,0.358471,10.122237
,,0.012245,1e-06,2.045366,1.0,0.0,0.999997,2e-06,13,,0.786721,,0.347325,9.792572
,,0.012529,1e-06,2.029983,1.0,0.0,0.999997,2e-06,14,,0.786736,,0.337516,9.174541
,,0.012732,1e-06,2.01584,1.0,0.0,0.999997,2e-06,15,,0.78636,,0.325713,9.081264
,,0.011164,1e-06,2.05208,1.0,0.0,0.999997,2e-06,16,,0.786634,,0.3177,8.892951
,,0.011997,1e-06,2.033721,1.0,0.0,0.999997,2e-06,17,,0.786573,,0.305812,8.873677
,,0.013686,1e-06,2.00897,1.0,0.0,0.999997,2e-06,18,,0.786948,,0.299836,9.237505
,,0.013079,1e-06,2.03877,1.0,0.0,0.999997,2e-06,19,,0.786876,,0.292251,9.128949
,,0.015484,1e-06,2.029725,1.0,0.0,0.999997,2e-06,20,,0.78647,,0.281358,9.073051
,,0.014462,1e-06,2.037422,1.0,0.0,0.999997,2e-06,21,,0.78654,,0.275063,9.132779
,,0.013751,1e-06,2.020865,1.0,0.0,0.999997,2e-06,22,,0.786713,,0.267604,9.270077
,,0.014483,1e-06,2.042246,1.0,0.0,0.999997,2e-06,23,,0.786758,,0.259709,8.928813
,,0.015254,1e-06,2.054619,1.0,0.0,0.999997,2e-06,24,,0.786108,,0.251674,8.720686
,,0.014675,1e-06,2.097491,1.0,0.0,0.999997,2e-06,25,,0.786487,,0.243327,9.082815
,,0.015969,0.0,2.030897,1.0,0.0,0.999997,2e-06,26,,0.786721,,0.237667,9.581195
,,0.016436,1e-06,2.036304,1.0,0.0,0.999997,2e-06,27,,0.786905,,0.235032,9.379751
,,0.015795,1e-06,2.02578,1.0,0.0,0.999997,2e-06,28,,0.78651,,0.22459,9.654604
,,0.016265,1e-06,2.042449,1.0,0.0,0.999997,2e-06,29,,0.786609,,0.220431,9.59695
0.827853,0.901432,0.018248,1e-06,2.555019,1.0,0.0,0.999998,1e-06,30,0.587067,0.947047,0.901432,0.214215,12.424805
