accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.616913,0.667531,0.0,0.0,2.761198,1.0,1,0.643871,0.946933,0.667531,0.69479,7.757763
0.822017,0.867383,0.0,0.0,1.876686,1.0,2,0.427175,0.947181,0.867383,0.54115,10.792361
0.819423,0.882359,0.0,0.0,3.022396,1.0,3,0.41385,0.947189,0.882359,0.460511,12.494282
0.82709,0.889948,0.0,0.0,2.840357,1.0,4,0.401604,0.947186,0.889948,0.445435,11.90303
0.827701,0.894356,0.0,0.0,2.747935,1.0,5,0.395668,0.947186,0.894356,0.434468,11.978372
0.828578,0.89585,0.0,0.0,2.830737,1.0,6,0.391717,0.947162,0.89585,0.426419,11.049992
0.826137,0.895983,0.0,0.0,2.731993,1.0,7,0.393463,0.947182,0.895983,0.415978,12.935623
0.827205,0.898483,0.0,0.0,2.87226,1.0,8,0.392525,0.947136,0.898483,0.402403,12.339224
0.830867,0.900305,0.0,0.0,2.742402,1.0,9,0.388721,0.947179,0.900305,0.393015,13.633303
0.831248,0.901787,0.0,0.0,2.770912,1.0,10,0.396296,0.947133,0.901787,0.379171,12.598331
0.826823,0.900042,0.0,0.0,2.841381,1.0,11,0.400832,0.947162,0.900042,0.369918,12.920119
0.829265,0.899161,0.0,0.0,2.707894,1.0,12,0.396834,0.94716,0.899161,0.356474,11.767274
0.83018,0.902666,0.0,0.0,2.82474,1.0,13,0.392835,0.94716,0.902666,0.348322,12.969307
0.829913,0.901266,0.0,0.0,2.649994,1.0,14,0.418593,0.94712,0.901266,0.337447,11.939933
0.831324,0.901419,0.0,0.0,2.663857,1.0,15,0.422097,0.947168,0.901419,0.324772,12.498181
0.837351,0.905579,0.0,0.0,2.761169,1.0,16,0.433,0.947134,0.905579,0.318014,11.669948
0.835063,0.906123,0.0,0.0,2.737073,1.0,17,0.423468,0.947127,0.906123,0.308471,11.867441
0.834986,0.906,0.0,0.0,2.652854,1.0,18,0.430524,0.947146,0.906,0.297922,12.030156
0.832392,0.9055,0.0,0.0,2.744807,1.0,19,0.426455,0.947019,0.9055,0.286074,11.208536
0.827739,0.902578,0.0,0.0,2.757174,1.0,20,0.425022,0.947068,0.902578,0.28158,11.335902
0.828311,0.902303,0.0,0.0,2.693783,1.0,21,0.457016,0.947068,0.902303,0.273697,11.236176
0.832125,0.900883,0.0,0.0,2.748312,1.0,22,0.475347,0.946952,0.900883,0.260559,10.594652
0.830752,0.905055,0.0,0.0,2.738108,1.0,23,0.472822,0.947037,0.905055,0.253962,11.535655
0.834414,0.903776,0.0,0.0,2.704137,1.0,24,0.484049,0.946901,0.903776,0.248782,11.60798
0.831973,0.902824,0.0,0.0,2.698015,1.0,25,0.506014,0.944312,0.902824,0.244039,9.877729
0.828616,0.902996,0.0,0.0,2.673058,1.0,26,0.545286,0.94712,0.902996,0.231506,13.604044
0.824687,0.90065,0.0,0.0,2.745726,1.0,27,0.522356,0.947025,0.90065,0.228893,13.05985
0.828845,0.903467,0.0,0.0,2.732191,1.0,28,0.560603,0.946805,0.903467,0.221635,12.253051
0.825793,0.900575,0.0,0.0,2.6994,1.0,29,0.566106,0.946409,0.900575,0.214299,12.822394
0.829303,0.903379,0.0,0.0,2.707415,1.0,30,0.570382,0.946897,0.903379,0.209728,13.113549
