accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
,,0.0,0.0,1,,0.771138,,0.704807,4.060971
,,0.0,0.0,2,,0.786968,,0.611934,10.609688
,,0.0,0.0,3,,0.786747,,0.572563,11.759119
,,0.0,0.0,4,,0.786898,,0.536142,10.868317
,,0.0,0.0,5,,0.786492,,0.504647,10.817971
,,0.0,0.0,6,,0.786085,,0.475066,11.287288
,,0.0,0.0,7,,0.786394,,0.453706,11.79939
,,0.0,0.0,8,,0.785819,,0.431514,11.898523
,,0.0,0.0,9,,0.786809,,0.4096,11.793476
,,0.0,0.0,10,,0.786632,,0.396979,11.700221
,,0.0,0.0,11,,0.78677,,0.383166,10.949044
,,0.0,0.0,12,,0.786103,,0.36715,10.716045
,,0.0,0.0,13,,0.786213,,0.353537,10.685582
,,0.0,0.0,14,,0.786409,,0.338991,10.243457
,,0.0,0.0,15,,0.785921,,0.33182,10.301881
,,0.0,0.0,16,,0.785416,,0.317185,10.048252
,,0.0,0.0,17,,0.785828,,0.309954,9.839174
,,0.0,0.0,18,,0.784719,,0.300993,9.847245
,,0.0,0.0,19,,0.784763,,0.292287,9.856904
,,0.0,0.0,20,,0.783251,,0.285339,9.823435
,,0.0,0.0,21,,0.784063,,0.27423,10.129591
,,0.0,0.0,22,,0.779702,,0.265241,9.968632
,,0.0,0.0,23,,0.77543,,0.260308,9.492088
,,0.0,0.0,24,,0.784648,,0.252631,10.517725
,,0.0,0.0,25,,0.782731,,0.245334,10.103376
,,0.0,0.0,26,,0.784465,,0.237255,10.178705
,,0.0,0.0,27,,0.784029,,0.236046,10.178137
,,0.0,0.0,28,,0.784031,,0.228489,9.665999
,,0.0,0.0,29,,0.782244,,0.220431,9.109719
0.75267,0.839893,0.0,0.0,30,0.799737,0.943596,0.839893,0.21854,12.477131
