domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,edge_warrant_gate_std,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_gate_grad_norm,edge_attention_grad_norm,inference_native_primary,inference_g1_primary,inference_g1_delta,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
ctdg,lastfm,DyGFormer,scalar_gate,metric_path_query_scalar_gate,7,completed,0.777119,0.82637,0.484494,auc,higher,0.529126,0.484494,,,,,,,,,,,,,,,1.0,0.0,0.949208,1.334149,,,,0.0,0.0,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,2.54374,experiments/permission_decomposition/outputs_smoke_all/ctdg/lastfm/DyGFormer/scalar_gate/seed_7
ctdg,lastfm,DyGFormer,item_only_gate,metric_path_item_only_gate,7,completed,0.777119,0.826374,0.484494,auc,higher,0.529126,0.484494,,,,,,,,,,,,,,,1.0,0.0,0.9488,1.333877,,,,0.0,0.0,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,0.750821,experiments/permission_decomposition/outputs_smoke_all/ctdg/lastfm/DyGFormer/item_only_gate/seed_7
ctdg,lastfm,DyGFormer,normalized_gate,metric_path_normalized_query_item_gate,7,completed,0.762687,0.835276,0.47997,auc,higher,0.504854,0.47997,,,,,,,,,,,,,,,1.0,0.0,0.950004,1.360214,,,,0.0,0.0,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,0.758445,experiments/permission_decomposition/outputs_smoke_all/ctdg/lastfm/DyGFormer/normalized_gate/seed_7
mtpp,retweets,THP,scalar_gate,metric_path_query_scalar_gate,7,completed,3.367927,2.216838,0.797101,mark_mrr,higher,0.630435,,0.797101,,,,,,,,,,,,119.001113,,0.385137,1.190493,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,1.2289,experiments/permission_decomposition/outputs_smoke_all/mtpp/retweets/THP/scalar_gate/seed_7
mtpp,retweets,THP,item_only_gate,metric_path_item_only_gate,7,completed,3.367928,2.216839,0.797101,mark_mrr,higher,0.630435,,0.797101,,,,,,,,,,,,119.001113,,0.384087,1.168171,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,1.038246,experiments/permission_decomposition/outputs_smoke_all/mtpp/retweets/THP/item_only_gate/seed_7
mtpp,retweets,THP,normalized_gate,metric_path_normalized_query_item_gate,7,completed,3.367927,2.216839,0.797101,mark_mrr,higher,0.630435,,0.797101,,,,,,,,,,,,119.001113,,0.404348,1.163497,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,1.026712,experiments/permission_decomposition/outputs_smoke_all/mtpp/retweets/THP/normalized_gate/seed_7
rag,hotpotqa,FiD,scalar_gate,metric_path_query_scalar_gate,7,completed,1.634368,1.617281,0.595146,support_mrr,higher,,,,,0.595146,0.565534,0.564146,0.291418,0.708582,0.291418,0.287142,0.698184,0.291418,,,,0.985326,2.967559,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,0.496025,experiments/permission_decomposition/outputs_smoke_all/rag/hotpotqa/FiD/scalar_gate/seed_7
rag,hotpotqa,FiD,item_only_gate,metric_path_item_only_gate,7,completed,1.634367,1.617278,0.595146,support_mrr,higher,,,,,0.595146,0.565534,0.564082,0.291418,0.708582,0.291418,0.287232,0.698345,0.291432,,,,0.985575,2.98577,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,0.455091,experiments/permission_decomposition/outputs_smoke_all/rag/hotpotqa/FiD/item_only_gate/seed_7
rag,hotpotqa,FiD,normalized_gate,metric_path_normalized_query_item_gate,7,completed,1.633922,1.617025,0.595146,support_mrr,higher,,,,,0.595146,0.565534,0.563817,0.291386,0.708614,0.291386,0.291386,0.708614,0.291386,,,,1.0,1.610407,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,0.438802,experiments/permission_decomposition/outputs_smoke_all/rag/hotpotqa/FiD/normalized_gate/seed_7
stpp,earthquake,DeepSTPP,scalar_gate,metric_path_query_scalar_gate,7,completed,5.601779,5.011669,1.415162,rmse_location,lower,,,,,,,,,,,,,,5.011669,0.753121,1.415162,0.952507,2.944585,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,0.341382,experiments/permission_decomposition/outputs_smoke_all/stpp/earthquake/DeepSTPP/scalar_gate/seed_7
