dataset,model,variant,seed,status,total_parameters,trainable_parameters,train_loss,eval_loss,support_mrr,clean_support_mrr,hard_support_mrr,recall_at_1,recall_at_2,recall_at_5,clean_recall_at_1,hard_recall_at_1,hard_recall_at_2,evidence_f1,auprc,hard_at_1,hard_at_gold_count,unsupported_at_gold_count,precision_at_gold_count,gold_hard_pair_auc,score_margin_gold_hard,candidate_gate_mean,candidate_gate_std,gold_gate_mean,hard_gate_mean,random_gate_mean,gold_attention_mass,hard_attention_mass,random_attention_mass,gold_effective_mass,hard_effective_mass,random_effective_mass,gold_hard_attention_ratio,gold_hard_effective_ratio,gold_random_attention_ratio,gold_random_effective_ratio,elapsed_sec,output_dir
hotpotqa,roberta-base,base,7,completed,124652545,124652545,0.3089371415227651,0.3181272673606872,0.9158227848101266,0.979324894514768,0.928987341772152,0.8455696202531645,0.9645569620253164,0.9974683544303796,0.959493670886076,0.8658227848101265,0.979746835443038,0.7772151898734178,0.8020131343959261,0.1240506329113924,0.3189873417721519,0.2227848101265822,0.7772151898734178,0.9027426160337554,0.558004901251846,,,,,,,,,,,,,,,,37.92876887321472,experiments/qiu_gated_attention/outputs/base/seed_7
hotpotqa,roberta-base,base,17,completed,124652545,124652545,0.2794791731610894,0.3027387730777263,0.9124050632911392,0.9818565400843882,0.9236286919831224,0.8379746835443038,0.9670886075949368,1.0,0.9645569620253164,0.8556962025316456,0.9772151898734176,0.779746835443038,0.8170893762341173,0.1392405063291139,0.3113924050632911,0.220253164556962,0.779746835443038,0.9048523206751052,0.5985842200951504,,,,,,,,,,,,,,,,37.46379494667053,experiments/qiu_gated_attention/outputs/base/seed_17
hotpotqa,roberta-base,base,37,completed,124652545,124652545,0.2912088863551617,0.3025866365432739,0.9049367088607596,0.971308016877637,0.9259493670886076,0.8278481012658228,0.9544303797468354,1.0,0.9443037974683544,0.8632911392405064,0.9696202531645568,0.7683544303797468,0.8138311859484644,0.1341772151898734,0.3189873417721519,0.2316455696202531,0.7683544303797468,0.9025316455696204,0.5621403321517211,,,,,,,,,,,,,,,,37.29762887954712,experiments/qiu_gated_attention/outputs/base/seed_37
hotpotqa,roberta-base,base,47,completed,124652545,124652545,0.3687379101663828,0.3494210362434387,0.8945147679324894,0.9818565400843882,0.9044303797468356,0.8050632911392405,0.9569620253164556,1.0,0.9645569620253164,0.8177215189873418,0.9746835443037974,0.760759493670886,0.7700701148743242,0.1746835443037974,0.3569620253164557,0.2392405063291139,0.760759493670886,0.8847046413502111,0.5509976211105148,,,,,,,,,,,,,,,,37.11504554748535,experiments/qiu_gated_attention/outputs/base/seed_47
hotpotqa,roberta-base,base,57,completed,124652545,124652545,0.2862735069543123,0.2925757566094398,0.9137130801687764,0.9831223628691984,0.9267932489451476,0.8405063291139241,0.9645569620253164,1.0,0.9670886075949368,0.8632911392405064,0.9721518987341772,0.7734177215189874,0.8183577909655234,0.1341772151898734,0.3341772151898734,0.2265822784810126,0.7734177215189874,0.9020042194092828,0.5650902083280147,,,,,,,,,,,,,,,,37.61903405189514,experiments/qiu_gated_attention/outputs/base/seed_57
hotpotqa,roberta-base,open_path_no_gate,7,completed,129965570,129965570,0.2969354005903005,0.3616226559877395,0.9140084388185652,0.9818565400843882,0.9255274261603376,0.8405063291139241,0.9670886075949368,1.0,0.9645569620253164,0.8582278481012658,0.979746835443038,0.7632911392405063,0.7987304076512068,0.1316455696202531,0.3341772151898734,0.2367088607594936,0.7632911392405063,0.8977848101265823,0.5683238508101682,1.0,0.0,1.0,1.0,1.0,0.0092395240578511,0.0143082464336417,0.0203773381706877,0.0092395240578511,0.0143082464336417,0.0203773381706877,0.6457481775074169,0.6457481775074169,0.4534215401667091,0.4534215401667091,38.05087876319885,experiments/qiu_gated_attention/outputs/open_path_no_gate/seed_7
hotpotqa,roberta-base,open_path_no_gate,17,completed,129965570,129965570,0.2903140015155077,0.322052417397499,0.901078963230862,0.9759493670886076,0.9167510548523208,0.8202531645569621,0.9544303797468354,0.9974683544303796,0.9544303797468354,0.8455696202531645,0.9670886075949368,0.7734177215189874,0.8038794028598751,0.1493670886075949,0.3215189873417721,0.2265822784810126,0.7734177215189874,0.8964135021097046,0.5803700405854795,1.0,0.0,1.0,1.0,1.0,0.0192190190164763,0.0147636794828781,0.0203115154781965,0.0192190190164763,0.0147636794828781,0.0203115154781965,1.3017770426921793,1.3017770426921793,0.946212951815786,0.946212951815786,38.36928224563599,experiments/qiu_gated_attention/outputs/open_path_no_gate/seed_17
hotpotqa,roberta-base,open_path_no_gate,37,completed,129965570,129965570,0.2799542736634612,0.2915520446002483,0.9235021097046412,0.9827004219409282,0.9350210970464136,0.8607594936708861,0.9645569620253164,1.0,0.9670886075949368,0.8784810126582279,0.9772151898734176,0.789873417721519,0.8278600551318228,0.1139240506329113,0.3037974683544304,0.210126582278481,0.789873417721519,0.9113924050632912,0.5597366117564805,1.0,0.0,1.0,1.0,1.0,0.0094065213361705,0.0130220591322843,0.0195971202240455,0.0094065213361705,0.0130220591322843,0.0195971202240455,0.7223528353399874,0.7223528353399874,0.4799950823707654,0.4799950823707654,38.05692481994629,experiments/qiu_gated_attention/outputs/open_path_no_gate/seed_37
hotpotqa,roberta-base,open_path_no_gate,47,completed,129965570,129965570,0.3068571178615093,0.3181078371405601,0.9070464135021096,0.9780590717299578,0.9215189873417722,0.8354430379746836,0.9468354430379748,1.0,0.9569620253164556,0.8582278481012658,0.9620253164556962,0.760759493670886,0.811431579521973,0.1341772151898734,0.3215189873417721,0.2392405063291139,0.760759493670886,0.8992616033755275,0.6017209249850705,1.0,0.0,1.0,1.0,1.0,0.0211382082863487,0.0200814542508134,0.0287361571071706,0.0211382082863487,0.0200814542508134,0.0287361571071706,1.052623381869497,1.052623381869497,0.735596210986544,0.735596210986544,38.16199851036072,experiments/qiu_gated_attention/outputs/open_path_no_gate/seed_47
hotpotqa,roberta-base,open_path_no_gate,57,completed,129965570,129965570,0.2880594800412654,0.31569684445858,0.909789029535865,0.9738396624472572,0.9240506329113924,0.8379746835443038,0.9569620253164556,0.9974683544303796,0.9493670886075948,0.8582278481012658,0.9746835443037974,0.7772151898734178,0.8204915730481857,0.1341772151898734,0.3240506329113924,0.2227848101265822,0.7772151898734178,0.9018987341772152,0.4852427143862919,1.0,0.0,1.0,1.0,1.0,0.0054793618904287,0.0058007946244296,0.0078339096569219,0.0054793618904287,0.0058007946244296,0.0078339096569219,0.944588154759495,0.944588154759495,0.6994415471191084,0.6994415471191084,38.10283803939819,experiments/qiu_gated_attention/outputs/open_path_no_gate/seed_57
