variant,seed,mrr,base_mrr,delta_mrr_vs_base,full_value_gate_mrr,full_minus_variant_mrr
base,7,0.130267,0.130267,0.0,0.143008,0.012741000000000002
base,17,0.126332,0.126332,0.0,0.1436,0.017268000000000006
base,37,0.126641,0.126641,0.0,0.141946,0.015304999999999985
attention_copy_control,7,0.142561,0.130267,0.012294,0.143008,0.00044700000000000295
attention_copy_control,17,0.143367,0.126332,0.017034999999999995,0.1436,0.00023300000000001098
attention_copy_control,37,0.141773,0.126641,0.015132000000000007,0.141946,0.00017299999999997873
logit_gate,7,0.142314,0.130267,0.012047000000000002,0.143008,0.0006940000000000002
logit_gate,17,0.143363,0.126332,0.01703099999999999,0.1436,0.00023700000000001498
logit_gate,37,0.141856,0.126641,0.015215000000000006,0.141946,8.999999999997899e-05
key_only_gate,7,0.142747,0.130267,0.012480000000000019,0.143008,0.00026099999999998347
key_only_gate,17,0.14308,0.126332,0.016748000000000013,0.1436,0.0005199999999999927
key_only_gate,37,0.142016,0.126641,0.015375,0.141946,-7.00000000000145e-05
query_only_gate,7,0.143128,0.130267,0.012861000000000011,0.143008,-0.00012000000000000899
query_only_gate,17,0.142947,0.126332,0.01661499999999999,0.1436,0.0006530000000000147
query_only_gate,37,0.142363,0.126641,0.015721999999999986,0.141946,-0.0004170000000000007
shuffled_gate,7,0.133074,0.130267,0.002807000000000004,0.143008,0.009933999999999998
shuffled_gate,17,0.136529,0.126332,0.010197000000000012,0.1436,0.007070999999999994
shuffled_gate,37,0.141619,0.126641,0.014977999999999991,0.141946,0.00032699999999999396
full_value_gate,7,0.143008,0.130267,0.012741000000000002,0.143008,0.0
full_value_gate,17,0.1436,0.126332,0.017268000000000006,0.1436,0.0
full_value_gate,37,0.141946,0.126641,0.015304999999999985,0.141946,0.0
