accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.076594,1,9.223379,1.0,0.105324,0.105324,14.02627,0.0,1.0
0.082545,2,8.414564,1.0,0.11663,0.11663,9.091256,0.0,1.0
0.083003,3,8.058258,1.0,0.121621,0.121621,8.44158,0.0,1.0
0.088038,4,7.844208,1.0,0.127308,0.127308,8.079209,0.0,1.0
0.08819,5,7.670361,1.0,0.129598,0.129598,7.820174,0.0,1.0
0.088648,6,7.509137,1.0,0.131516,0.131516,7.610695,0.0,1.0
0.08163,7,7.388293,1.0,0.129205,0.129205,7.432739,0.0,1.0
0.08758,8,7.284207,1.0,0.133531,0.133531,7.2785,0.0,1.0
0.087656,9,7.178528,1.0,0.134256,0.134256,7.123155,0.0,1.0
0.086054,10,7.073392,1.0,0.13424,0.13424,6.981814,0.0,1.0
0.088114,11,6.978637,1.0,0.136694,0.136694,6.825147,0.0,1.0
0.083003,12,6.86276,1.0,0.134488,0.134488,6.67897,0.0,1.0
0.087656,13,6.780015,1.0,0.137267,0.137267,6.538436,0.0,1.0
0.083689,14,6.686369,1.0,0.136229,0.136229,6.399312,0.0,1.0
0.088877,15,6.619509,1.0,0.139381,0.139381,6.270607,0.0,1.0
0.085368,16,6.543346,1.0,0.138477,0.138477,6.144699,0.0,1.0
0.088496,17,6.479475,1.0,0.141011,0.141011,6.040477,0.0,1.0
0.083003,18,6.441401,1.0,0.138576,0.138576,5.944662,0.0,1.0
0.087962,19,6.392,1.0,0.141648,0.141648,5.854783,0.0,1.0
0.089945,20,6.373406,1.0,0.142821,0.142821,5.770648,0.0,1.0
0.087428,21,6.346036,1.0,0.142055,0.142055,5.704028,0.0,1.0
0.087275,22,6.330909,1.0,0.142298,0.142298,5.64271,0.0,1.0
0.087275,23,6.326019,1.0,0.142477,0.142477,5.574119,0.0,1.0
0.087046,24,6.30226,1.0,0.142265,0.142265,5.523792,0.0,1.0
0.090327,25,6.294726,1.0,0.14368,0.14368,5.481004,0.0,1.0
0.086359,26,6.294752,1.0,0.142086,0.142086,5.43457,0.0,1.0
0.086283,27,6.301297,1.0,0.14252,0.14252,5.384565,0.0,1.0
0.089411,28,6.276243,1.0,0.143808,0.143808,5.348392,0.0,1.0
0.087428,29,6.298639,1.0,0.142658,0.142658,5.306338,0.0,1.0
0.086665,30,6.296894,1.0,0.141773,0.141773,5.266494,0.0,1.0
