accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.020064,1,9.9915,1.0,0.024713,0.024713,14.70269,0.0,0.0
0.029905,2,9.176977,1.0,0.043165,0.043165,9.780143,0.0,0.0
0.062328,3,8.744056,1.0,0.076846,0.076846,9.099,0.0,0.0
0.073772,4,8.400746,1.0,0.091404,0.091404,8.665918,0.0,0.0
0.07957,5,8.092725,1.0,0.101806,0.101806,8.300577,0.0,0.0
0.082545,6,7.817304,1.0,0.109015,0.109015,7.972696,0.0,0.0
0.083689,7,7.562999,1.0,0.114992,0.114992,7.682637,0.0,0.0
0.084757,8,7.328271,1.0,0.120376,0.120376,7.405984,0.0,0.0
0.085444,9,7.128225,1.0,0.123664,0.123664,7.152854,0.0,0.0
0.086436,10,6.951941,1.0,0.127113,0.127113,6.923857,0.0,0.0
0.08697,11,6.808731,1.0,0.129152,0.129152,6.735363,0.0,0.0
0.08758,12,6.69915,1.0,0.131369,0.131369,6.562419,0.0,0.0
0.086817,13,6.612664,1.0,0.132898,0.132898,6.422842,0.0,0.0
0.087809,14,6.540278,1.0,0.133363,0.133363,6.310163,0.0,0.0
0.088801,15,6.484969,1.0,0.134626,0.134626,6.19981,0.0,0.0
0.089106,16,6.452425,1.0,0.135546,0.135546,6.112741,0.0,0.0
0.087351,17,6.417199,1.0,0.135313,0.135313,6.043804,0.0,0.0
0.087046,18,6.409243,1.0,0.134964,0.134964,5.9703,0.0,0.0
0.087733,19,6.39763,1.0,0.136018,0.136018,5.904931,0.0,0.0
0.082926,20,6.394552,1.0,0.131863,0.131863,5.849615,0.0,0.0
0.086207,21,6.384106,1.0,0.134382,0.134382,5.793226,0.0,0.0
0.083308,22,6.394118,1.0,0.131694,0.131694,5.73861,0.0,0.0
0.082621,23,6.408192,1.0,0.130804,0.130804,5.678854,0.0,0.0
0.081096,24,6.409947,1.0,0.130618,0.130618,5.633579,0.0,0.0
0.083842,25,6.416128,1.0,0.131427,0.131427,5.585123,0.0,0.0
0.081782,26,6.420199,1.0,0.130205,0.130205,5.534783,0.0,0.0
0.079265,27,6.4408,1.0,0.128312,0.128312,5.494518,0.0,0.0
0.079799,28,6.442986,1.0,0.128188,0.128188,5.448119,0.0,0.0
0.079417,29,6.465614,1.0,0.128546,0.128546,5.408211,0.0,0.0
0.078044,30,6.475782,1.0,0.126332,0.126332,5.36707,0.0,0.0
