accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.068126,1,9.098548,0.979437,0.102398,0.102398,13.58641,3.421285,1.0
0.078425,2,8.340197,0.982899,0.115634,0.115634,9.067698,3.49051,1.0
0.08491,3,8.029469,0.978256,0.123044,0.123044,8.454056,3.403263,1.0
0.08552,4,7.808473,0.975705,0.125806,0.125806,8.116745,3.317016,1.0
0.085902,5,7.622189,0.97609,0.128318,0.128318,7.86492,3.276671,1.0
0.088648,6,7.477316,0.9752,0.131643,0.131643,7.659259,3.242578,1.0
0.088267,7,7.341675,0.970718,0.132249,0.132249,7.47614,3.220929,1.0
0.087733,8,7.222625,0.965704,0.133463,0.133463,7.300386,3.07548,1.0
0.087428,9,7.099433,0.951762,0.134278,0.134278,7.128049,2.742274,1.0
0.088801,10,6.966734,0.928156,0.13611,0.13611,6.957636,2.342314,1.0
0.088648,11,6.852724,0.928919,0.136581,0.136581,6.793378,2.498485,1.0
0.089411,12,6.74346,0.921525,0.137859,0.137859,6.635422,2.481296,1.0
0.085597,13,6.639094,0.869549,0.137156,0.137156,6.483781,1.65077,1.0
0.089487,14,6.564696,0.806774,0.139135,0.139135,6.350596,1.02407,1.0
0.087275,15,6.497823,0.79852,0.138696,0.138696,6.226853,1.001048,1.0
0.084757,16,6.441241,0.79142,0.138193,0.138193,6.119308,1.067751,1.0
0.083003,17,6.382234,0.756547,0.138924,0.138924,6.037781,0.462355,1.0
0.085902,18,6.353201,0.736777,0.140066,0.140066,5.939811,0.288797,1.0
0.085063,19,6.318352,0.711376,0.14035,0.14035,5.855211,0.050873,1.0
0.087962,20,6.296496,0.688658,0.141647,0.141647,5.793762,-0.465031,1.0
0.085291,21,6.277555,0.694167,0.140319,0.140319,5.722341,-0.372726,1.0
0.085978,22,6.268331,0.684236,0.141078,0.141078,5.669597,-0.453421,1.0
0.087656,23,6.255332,0.650061,0.142008,0.142008,5.6069,-0.874796,1.0
0.088496,24,6.255649,0.64805,0.142284,0.142284,5.565611,-0.980666,1.0
0.090708,25,6.255125,0.636401,0.142371,0.142371,5.518506,-1.291259,1.0
0.088801,26,6.237976,0.661098,0.144254,0.144254,5.471111,-0.978601,1.0
0.089258,27,6.249967,0.622983,0.14339,0.14339,5.427779,-1.495905,1.0
0.087122,28,6.231912,0.644796,0.144042,0.144042,5.385226,-1.326805,1.0
0.084376,29,6.258437,0.632211,0.141576,0.141576,5.35124,-1.420957,1.0
0.090174,30,6.246736,0.631633,0.1436,0.1436,5.319025,-1.37441,1.0
