accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.074916,1,8.860685,0.971148,0.10756,0.10756,12.93114,3.083908,1.0
0.085368,2,8.201958,0.972144,0.120554,0.120554,8.869789,3.020061,1.0
0.085825,3,7.897232,0.967574,0.124979,0.124979,8.326799,2.963161,1.0
0.088038,4,7.699837,0.966341,0.128178,0.128178,8.014284,2.936925,1.0
0.087199,5,7.519096,0.966677,0.129348,0.129348,7.775772,2.943371,1.0
0.089182,6,7.38556,0.964702,0.131872,0.131872,7.565442,2.908957,1.0
0.089335,7,7.246032,0.96109,0.1333,0.1333,7.374745,2.835263,1.0
0.088114,8,7.11967,0.956332,0.133879,0.133879,7.201756,2.771146,1.0
0.089411,9,6.988089,0.95355,0.135366,0.135366,7.034704,2.742334,1.0
0.091395,10,6.870972,0.949663,0.137641,0.137641,6.849417,2.667257,1.0
0.089945,11,6.761389,0.930924,0.136652,0.136652,6.684685,2.301864,1.0
0.085749,12,6.623558,0.927539,0.137284,0.137284,6.517147,2.282234,1.0
0.085902,13,6.533112,0.927128,0.137513,0.137513,6.371142,2.280377,1.0
0.088648,14,6.455153,0.90895,0.139851,0.139851,6.240306,2.04153,1.0
0.089411,15,6.401648,0.907055,0.13984,0.13984,6.126747,2.022641,1.0
0.087428,16,6.343887,0.892169,0.140853,0.140853,6.030857,1.822344,1.0
0.085597,17,6.305378,0.893734,0.140965,0.140965,5.935894,1.86208,1.0
0.086283,18,6.282457,0.827283,0.140747,0.140747,5.860757,1.108338,1.0
0.089335,19,6.25268,0.847896,0.143958,0.143958,5.791888,1.383499,1.0
0.091013,20,6.240892,0.851126,0.144248,0.144248,5.738102,1.42037,1.0
0.086741,21,6.227192,0.817428,0.142919,0.142919,5.667357,1.025349,1.0
0.086359,22,6.225218,0.788352,0.14175,0.14175,5.624333,0.736425,1.0
0.088267,23,6.218217,0.801222,0.144179,0.144179,5.580772,0.884633,1.0
0.087504,24,6.214155,0.795881,0.144331,0.144331,5.535661,0.820935,1.0
0.091395,25,6.21193,0.771765,0.143967,0.143967,5.486736,0.505195,1.0
0.090784,26,6.222397,0.776363,0.142904,0.142904,5.452471,0.576087,1.0
0.088953,27,6.204612,0.782038,0.143773,0.143773,5.413817,0.620093,1.0
0.086741,28,6.213474,0.783439,0.143269,0.143269,5.367139,0.617592,1.0
0.087046,29,6.222523,0.78841,0.142905,0.142905,5.339557,0.758736,1.0
0.087809,30,6.219587,0.772245,0.142747,0.142747,5.295942,0.532988,1.0
