accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.073009,1,8.863739,1.0,0.10688,0.10688,12.846823,3.161997,1.0
0.084681,2,8.200841,1.0,0.120592,0.120592,8.800678,3.288076,1.0
0.085978,3,7.899843,1.0,0.125269,0.125269,8.252177,3.243149,1.0
0.089106,4,7.710583,1.0,0.128741,0.128741,7.938382,3.157745,1.0
0.083918,5,7.530137,1.0,0.128083,0.128083,7.702077,3.273537,1.0
0.089106,6,7.397089,1.0,0.13189,0.13189,7.49749,3.161605,1.0
0.087885,7,7.25263,1.0,0.133057,0.133057,7.311002,2.955186,1.0
0.087504,8,7.130623,1.0,0.133889,0.133889,7.136023,2.932701,1.0
0.086817,9,7.004405,1.0,0.134353,0.134353,6.974254,2.842471,1.0
0.090937,10,6.887147,1.0,0.137755,0.137755,6.797256,2.625859,1.0
0.089411,11,6.777584,1.0,0.136809,0.136809,6.631844,2.1107,1.0
0.083766,12,6.652,1.0,0.136165,0.136165,6.465897,1.827076,1.0
0.086817,13,6.556764,1.0,0.138102,0.138102,6.320101,1.70647,1.0
0.086207,14,6.477477,1.0,0.139311,0.139311,6.186228,1.094919,1.0
0.084376,15,6.415356,1.0,0.138775,0.138775,6.068227,1.133216,1.0
0.086588,16,6.362201,1.0,0.140579,0.140579,5.970403,0.34417,1.0
0.086054,17,6.320327,1.0,0.141278,0.141278,5.877163,0.229886,1.0
0.085063,18,6.300207,1.0,0.140993,0.140993,5.790612,-0.43491,1.0
0.085063,19,6.275333,1.0,0.141914,0.141914,5.719655,0.131427,1.0
0.089716,20,6.258483,1.0,0.144157,0.144157,5.656936,-0.898161,1.0
0.086207,21,6.240771,1.0,0.142738,0.142738,5.5909,-0.862194,1.0
0.083537,22,6.246377,1.0,0.140951,0.140951,5.544221,-0.648227,1.0
0.088419,23,6.238699,1.0,0.145077,0.145077,5.497331,-1.09126,1.0
0.089869,24,6.230497,1.0,0.145071,0.145071,5.446909,-1.46309,1.0
0.088724,25,6.229364,1.0,0.143556,0.143556,5.394884,-1.292495,1.0
0.089106,26,6.239534,1.0,0.144076,0.144076,5.358134,-1.432369,1.0
0.087122,27,6.230699,1.0,0.143073,0.143073,5.317801,-1.651767,1.0
0.086207,28,6.240224,1.0,0.142249,0.142249,5.27469,-1.825019,1.0
0.085139,29,6.258806,1.0,0.141602,0.141602,5.240725,-1.829648,1.0
0.087504,30,6.240565,1.0,0.142314,0.142314,5.202807,-1.844539,1.0
