accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.074916,1,8.860683,0.972428,0.107559,0.107559,12.931144,3.169569,1.0
0.085291,2,8.201843,0.971404,0.120514,0.120514,8.86979,3.016987,1.0
0.085825,3,7.897285,0.961381,0.124966,0.124966,8.326738,2.81316,1.0
0.088114,4,7.699787,0.957039,0.128227,0.128227,8.01418,2.786019,1.0
0.087275,5,7.518999,0.955543,0.1294,0.1294,7.775698,2.774805,1.0
0.089106,6,7.38556,0.938193,0.131828,0.131828,7.565397,2.454227,1.0
0.089106,7,7.245721,0.933356,0.133201,0.133201,7.374699,2.639821,1.0
0.088648,8,7.120152,0.907237,0.134127,0.134127,7.201741,2.787917,1.0
0.08697,9,6.985952,0.888982,0.134209,0.134209,7.034907,3.128559,1.0
0.091089,10,6.869076,0.914644,0.13758,0.13758,6.848854,3.240553,1.0
0.090021,11,6.762924,0.888041,0.13663,0.13663,6.684373,3.600834,1.0
0.086817,12,6.622559,0.897485,0.137911,0.137911,6.517318,3.736717,1.0
0.085749,13,6.533016,0.896173,0.13748,0.13748,6.37128,4.087978,1.0
0.088419,14,6.45295,0.893635,0.13997,0.13997,6.240666,4.042315,1.0
0.089487,15,6.40245,0.885027,0.139715,0.139715,6.126363,3.884609,1.0
0.088572,16,6.342922,0.901023,0.14116,0.14116,6.030774,3.717356,1.0
0.086741,17,6.304698,0.879446,0.141437,0.141437,5.936281,3.552864,1.0
0.088114,18,6.28004,0.874976,0.141646,0.141646,5.861018,3.895463,1.0
0.089258,19,6.253108,0.875564,0.144022,0.144022,5.793441,2.758534,1.0
0.091166,20,6.239019,0.896167,0.144606,0.144606,5.740153,3.755944,1.0
0.085215,21,6.225989,0.890187,0.142544,0.142544,5.668755,4.558805,1.0
0.08819,22,6.220181,0.905992,0.142795,0.142795,5.624788,4.250305,1.0
0.090098,23,6.216262,0.88869,0.145045,0.145045,5.582733,3.793037,1.0
0.08758,24,6.209805,0.919435,0.144224,0.144224,5.5363,4.571635,1.0
0.092005,25,6.208131,0.921966,0.144583,0.144583,5.488078,4.439721,1.0
0.091852,26,6.216568,0.929527,0.143748,0.143748,5.454672,5.546095,1.0
0.090098,27,6.204785,0.903786,0.144007,0.144007,5.417412,4.701944,1.0
0.088267,28,6.210577,0.912754,0.144174,0.144174,5.370534,4.431742,1.0
0.087885,29,6.218837,0.903278,0.143467,0.143467,5.342714,4.803443,1.0
0.088038,30,6.218204,0.921645,0.143128,0.143128,5.299389,5.349403,1.0
