variant,seed,dataset,model,status,train_loss,eval_loss,primary_metric,mrr,accuracy,gate_mean,warrant_logit_mean,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,elapsed_sec,output_dir
base,7,gdelt,xERTE,completed,5.33988,6.435405,0.130267,0.130267,0.082774,1.0,0.0,0.0,0.0,0.0,18.896105,experiments/warrant_ablation/outputs/base/seed_7
attention_copy_control,7,gdelt,xERTE,completed,5.215791,6.236968,0.142561,0.142561,0.087504,1.0,0.0,1.0,2.0,0.0,16.347519,experiments/warrant_ablation/outputs/attention_copy_control/seed_7
full_value_gate,7,gdelt,xERTE,completed,5.288351,6.22241,0.143008,0.143008,0.08758,0.616558,-1.794029,1.0,2.0,0.0,14.617812,experiments/warrant_ablation/outputs/full_value_gate/seed_7
logit_gate,7,gdelt,xERTE,completed,5.202807,6.240565,0.142314,0.142314,0.087504,1.0,-1.844539,1.0,2.0,0.0,14.45526,experiments/warrant_ablation/outputs/logit_gate/seed_7
key_only_gate,7,gdelt,xERTE,completed,5.295942,6.219587,0.142747,0.142747,0.087809,0.772245,0.532988,1.0,2.0,0.0,14.288049,experiments/warrant_ablation/outputs/key_only_gate/seed_7
query_only_gate,7,gdelt,xERTE,completed,5.299389,6.218204,0.143128,0.143128,0.088038,0.921645,5.349403,1.0,2.0,0.0,14.350785,experiments/warrant_ablation/outputs/query_only_gate/seed_7
shuffled_gate,7,gdelt,xERTE,completed,5.288367,6.322633,0.133074,0.133074,0.073085,0.616961,-1.786882,1.0,2.0,0.0,14.35814,experiments/warrant_ablation/outputs/shuffled_gate/seed_7
base,17,gdelt,xERTE,completed,5.36707,6.475782,0.126332,0.126332,0.078044,1.0,0.0,0.0,0.0,0.0,12.275144,experiments/warrant_ablation/outputs/base/seed_17
attention_copy_control,17,gdelt,xERTE,completed,5.238172,6.261863,0.143367,0.143367,0.089716,1.0,0.0,1.0,2.0,0.0,12.858428,experiments/warrant_ablation/outputs/attention_copy_control/seed_17
full_value_gate,17,gdelt,xERTE,completed,5.319025,6.246736,0.1436,0.1436,0.090174,0.631633,-1.37441,1.0,2.0,0.0,14.650627,experiments/warrant_ablation/outputs/full_value_gate/seed_17
logit_gate,17,gdelt,xERTE,completed,5.223319,6.265973,0.143363,0.143363,0.09025,1.0,-2.110218,1.0,2.0,0.0,14.420379,experiments/warrant_ablation/outputs/logit_gate/seed_17
key_only_gate,17,gdelt,xERTE,completed,5.324777,6.242971,0.14308,0.14308,0.089258,0.684441,-0.524449,1.0,2.0,0.0,14.421086,experiments/warrant_ablation/outputs/key_only_gate/seed_17
query_only_gate,17,gdelt,xERTE,completed,5.331853,6.240612,0.142947,0.142947,0.087122,0.908506,5.162208,1.0,2.0,0.0,14.176557,experiments/warrant_ablation/outputs/query_only_gate/seed_17
shuffled_gate,17,gdelt,xERTE,completed,5.319024,6.309714,0.136529,0.136529,0.079722,0.631918,-1.369824,1.0,2.0,0.0,14.256635,experiments/warrant_ablation/outputs/shuffled_gate/seed_17
base,37,gdelt,xERTE,completed,5.393915,6.461297,0.126641,0.126641,0.077815,1.0,0.0,0.0,0.0,0.0,12.31153,experiments/warrant_ablation/outputs/base/seed_37
attention_copy_control,37,gdelt,xERTE,completed,5.266494,6.296894,0.141773,0.141773,0.086665,1.0,0.0,1.0,2.0,0.0,12.877995,experiments/warrant_ablation/outputs/attention_copy_control/seed_37
full_value_gate,37,gdelt,xERTE,completed,5.352814,6.276518,0.141946,0.141946,0.087046,0.75637,1.170269,1.0,2.0,0.0,14.96876,experiments/warrant_ablation/outputs/full_value_gate/seed_37
logit_gate,37,gdelt,xERTE,completed,5.252842,6.297332,0.141856,0.141856,0.08697,1.0,-2.044381,1.0,2.0,0.0,14.358532,experiments/warrant_ablation/outputs/logit_gate/seed_37
key_only_gate,37,gdelt,xERTE,completed,5.353557,6.276796,0.142016,0.142016,0.086741,0.72626,0.185727,1.0,2.0,0.0,14.386353,experiments/warrant_ablation/outputs/key_only_gate/seed_37
query_only_gate,37,gdelt,xERTE,completed,5.358647,6.273168,0.142363,0.142363,0.087428,0.953092,5.746537,1.0,2.0,0.0,14.161967,experiments/warrant_ablation/outputs/query_only_gate/seed_37
shuffled_gate,37,gdelt,xERTE,completed,5.352805,6.297241,0.141619,0.141619,0.085063,0.755894,1.167717,1.0,2.0,0.0,14.278879,experiments/warrant_ablation/outputs/shuffled_gate/seed_37
