accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.074916,1,8.860726,0.978351,0.107551,0.107551,12.930896,3.210705,1.0
0.085291,2,8.201825,0.977172,0.12052,0.12052,8.869807,3.050106,1.0
0.085673,3,7.896794,0.973953,0.124911,0.124911,8.326691,2.924596,1.0
0.088114,4,7.699613,0.972596,0.128224,0.128224,8.014123,2.880131,1.0
0.087122,5,7.518787,0.973627,0.129358,0.129358,7.775651,2.939922,1.0
0.089106,6,7.384894,0.970468,0.131812,0.131812,7.565433,2.847597,1.0
0.089258,7,7.24493,0.963573,0.133329,0.133329,7.374753,2.664932,1.0
0.087275,8,7.118579,0.9596,0.133486,0.133486,7.201787,2.688839,1.0
0.088648,9,6.986476,0.953058,0.135033,0.135033,7.034788,2.666025,1.0
0.090632,10,6.86747,0.942657,0.137372,0.137372,6.849245,2.488088,1.0
0.089411,11,6.751535,0.902849,0.136969,0.136969,6.684178,1.833465,1.0
0.082316,12,6.628896,0.896278,0.135623,0.135623,6.51675,1.762293,1.0
0.085673,13,6.533482,0.887241,0.137687,0.137687,6.369882,1.669417,1.0
0.087428,14,6.454006,0.83043,0.139728,0.139728,6.238675,1.019711,1.0
0.086054,15,6.393959,0.836877,0.139388,0.139388,6.125485,1.148035,1.0
0.082011,16,6.358245,0.772217,0.137644,0.137644,6.027957,0.414558,1.0
0.084071,17,6.321493,0.780711,0.139589,0.139589,5.931973,0.488786,1.0
0.080485,18,6.328564,0.706117,0.137247,0.137247,5.856446,-0.256852,1.0
0.084986,19,6.285178,0.720933,0.140615,0.140615,5.787228,-0.115508,1.0
0.079875,20,6.30817,0.656696,0.137439,0.137439,5.731485,-0.935322,1.0
0.074611,21,6.28948,0.682669,0.134597,0.134597,5.662039,-0.535383,1.0
0.07484,22,6.292899,0.655816,0.134161,0.134161,5.616783,-0.90698,1.0
0.079188,23,6.291511,0.651545,0.137501,0.137501,5.573157,-0.889316,1.0
0.075145,24,6.295597,0.652901,0.135165,0.135165,5.527822,-1.062512,1.0
0.080714,25,6.26176,0.632598,0.138061,0.138061,5.480401,-1.487953,1.0
0.08079,26,6.270952,0.62607,0.138255,0.138255,5.444823,-1.518168,1.0
0.078654,27,6.273871,0.619103,0.137183,0.137183,5.40424,-1.450865,1.0
0.074611,28,6.308934,0.635912,0.134246,0.134246,5.358157,-1.547277,1.0
0.073467,29,6.333601,0.629647,0.133061,0.133061,5.331968,-1.398108,1.0
0.073085,30,6.322633,0.616961,0.133074,0.133074,5.288367,-1.786882,1.0
