predictor,target,n,pearson,spearman,spearman_exact_p_two_sided
need_score_raw_mean,main_mean_relative_pct,5,0.7400088410712811,0.7999999999999999,0.13333333333333333
need_score_raw_mean,main_win_rate,5,0.19343586026081844,0.05129891760425771,1.0
need_score_raw_mean,substantial_rate,5,0.5130480741451247,0.7826237921249264,0.2
need_score_raw_mean,drop_rate,5,-0.19343586026081855,-0.05129891760425771,1.0
warrant_need_score,main_mean_relative_pct,5,0.7400088410712811,0.7999999999999999,0.13333333333333333
warrant_need_score,main_win_rate,5,0.19343586026081844,0.05129891760425771,1.0
warrant_need_score,substantial_rate,5,0.5130480741451247,0.7826237921249264,0.2
warrant_need_score,drop_rate,5,-0.19343586026081855,-0.05129891760425771,1.0
path_reach_rel_mean,main_mean_relative_pct,5,0.6336440011466128,0.8999999999999998,0.08333333333333333
path_reach_rel_mean,main_win_rate,5,0.17696729568983322,0.4103913408340617,0.5
path_reach_rel_mean,substantial_rate,5,0.5010422320638857,0.7826237921249264,0.2
path_reach_rel_mean,drop_rate,5,-0.17696729568983338,-0.4103913408340617,0.5
correct_over_generic_rel_mean,main_mean_relative_pct,5,0.6303614763874034,0.8999999999999998,0.08333333333333333
correct_over_generic_rel_mean,main_win_rate,5,0.1775646582546644,0.4103913408340617,0.5
correct_over_generic_rel_mean,substantial_rate,5,0.5049492422105372,0.7826237921249264,0.2
correct_over_generic_rel_mean,drop_rate,5,-0.1775646582546645,-0.4103913408340617,0.5
correct_over_shuffled_rel_mean,main_mean_relative_pct,5,0.522109575620291,0.19999999999999998,0.7833333333333333
correct_over_shuffled_rel_mean,main_win_rate,5,0.05951808800601337,-0.35909242322980395,0.5666666666666667
correct_over_shuffled_rel_mean,substantial_rate,5,-0.047097708502268035,0.11180339887498948,1.0
correct_over_shuffled_rel_mean,drop_rate,5,-0.05951808800601322,0.35909242322980395,0.5666666666666667
correct_over_open_path_rel_mean,main_mean_relative_pct,5,0.6211419825172158,0.5642880936468347,0.4
correct_over_open_path_rel_mean,main_win_rate,5,0.21344505099649028,0.6315789473684211,0.31666666666666665
correct_over_open_path_rel_mean,substantial_rate,5,0.5220178892769011,0.8029550685469662,0.2
correct_over_open_path_rel_mean,drop_rate,5,-0.21344505099649044,-0.6315789473684211,0.31666666666666665
