domain,dataset,model,seed,metric_name,direction,base,generic_qk_warrant,open_path_no_gate,correct_path_warrant,shuffled_pairing,path_reach,correct_over_generic,correct_over_shuffled,correct_over_open_path,open_path_over_base,path_reach_rel_signed,correct_over_generic_rel_signed,correct_over_shuffled_rel_signed,correct_over_open_path_rel_signed,path_reach_rel,correct_over_generic_rel,correct_over_shuffled_rel,correct_over_open_path_rel,seed_need_score_raw
ctdg,lastfm,DyGFormer,7,auc,higher,0.770116,0.75986,0.851001,0.852099,0.756844,0.08198300000000003,0.09223900000000007,0.09525500000000009,0.0010980000000000434,0.08088499999999998,0.10645539113588086,0.11977286538651329,0.12368915851637946,0.0014257592362709557,0.10645539113588086,0.11977286538651329,0.12368915851637946,0.0014257592362709557,0.09833875675872213
ctdg,lastfm,DyGFormer,17,auc,higher,0.768222,0.767556,0.847547,0.8548,0.712644,0.08657800000000004,0.08724399999999999,0.14215599999999995,0.007252999999999954,0.07932500000000009,0.11269919372264794,0.11356613062369991,0.18504546862755814,0.009441281296291898,0.11269919372264794,0.11356613062369991,0.18504546862755814,0.009441281296291898,0.11551380981018507
ctdg,lastfm,DyGFormer,37,auc,higher,0.764608,0.771677,0.861151,0.859193,0.697546,0.09458500000000003,0.08751600000000004,0.16164699999999999,-0.0019580000000000153,0.09654300000000005,0.123703911023688,0.1144586507072906,0.21141159914622917,-0.002560789319494454,0.123703911023688,0.1144586507072906,0.21141159914622917,0.0,0.12476393132167074
mtpp,retweets,AttNHP,7,mark_mrr,higher,0.755474,0.77129,0.771019,0.771019,0.721276,0.015545000000000031,-0.0002710000000000212,0.04974299999999998,0.0,0.015545000000000031,0.020576485755962524,-0.0003587151907279684,0.06584343074678942,0.0,0.020576485755962524,0.0,0.06584343074678942,0.0,0.023662627701284238
mtpp,retweets,AttNHP,17,mark_mrr,higher,0.770749,0.768451,0.769262,0.769262,0.721952,-0.001487000000000016,0.0008110000000000062,0.04730999999999996,0.0,-0.001487000000000016,-0.0019292921560715823,0.001052223227016845,0.06138185064138904,0.0,0.0,0.001052223227016845,0.06138185064138904,0.0,0.015608518467101472
mtpp,retweets,AttNHP,37,mark_mrr,higher,0.763179,0.765207,0.746283,0.746283,0.729927,-0.016896000000000022,-0.01892399999999994,0.016356000000000037,0.0,-0.016896000000000022,-0.022138973949754934,-0.02479627977184899,0.021431407310735798,0.0,0.0,0.0,0.021431407310735798,0.0,0.0053578518276839494
rag,hotpotqa,FiD,7,support_mrr,higher,0.557562,0.558031,0.558465,0.559334,0.559068,0.0017719999999999958,0.001302999999999943,0.00026599999999998847,0.0008690000000000087,0.0009029999999999871,0.00317812189496414,0.0023369598358567176,0.00047707698874741906,0.0015585710647425912,0.00317812189496414,0.0023369598358567176,0.00047707698874741906,0.0015585710647425912,0.002049637529099872
rag,hotpotqa,FiD,17,support_mrr,higher,0.544511,0.543363,0.543616,0.543241,0.543843,-0.0012699999999999934,-0.0001220000000000665,-0.0006019999999999914,-0.0003750000000000142,-0.0008949999999999791,-0.002332367941143509,-0.00022405424316509034,-0.001105579134305811,-0.0006886913212038219,0.0,0.0,0.0,0.0,0.0
rag,hotpotqa,FiD,37,support_mrr,higher,0.566532,0.568119,0.566466,0.567276,0.568243,0.0007439999999999669,-0.0008430000000000382,-0.0009670000000000512,0.0008099999999999774,-6.60000000000105e-05,0.0013132532672469814,-0.0014880006778082051,-0.0017068762223494014,0.0014297515409543986,0.0013132532672469814,0.0,0.0,0.0014297515409543986,0.0006741013746796032
stpp,earthquake,DeepSTPP,7,rmse_location,lower,2.251913,2.225269,2.23224,2.23224,3.078228,0.01967300000000005,-0.0069710000000000605,0.8459880000000002,-0.0,0.01967300000000005,0.008736127905474168,-0.0030955902825731104,0.3756752592129448,-0.0,0.008736127905474168,0.0,0.3756752592129448,-0.0,0.09697645957015216
stpp,earthquake,DeepSTPP,17,rmse_location,lower,2.231431,2.249124,2.237763,2.237763,3.048038,-0.006332000000000004,0.011360999999999954,0.8102749999999999,-0.0,-0.006332000000000004,-0.0028376409577531205,0.005091351693151145,0.363119003007487,-0.0,0.0,0.005091351693151145,0.363119003007487,-0.0,0.09205258867515954
stpp,earthquake,DeepSTPP,37,rmse_location,lower,2.241065,2.20515,2.204471,2.204471,3.118722,0.036594000000000015,0.0006790000000003182,0.9142510000000001,-0.0,0.036594000000000015,0.016328843652459887,0.0003029809487901146,0.40795380767626116,-0.0,0.016328843652459887,0.0003029809487901146,0.40795380767626116,-0.0,0.10777929243462378
tkg,gdelt,xERTE,7,mrr,higher,0.048807,0.049191,0.116489,0.11752,0.115645,0.068713,0.068329,0.0018750000000000017,0.0010310000000000041,0.06768199999999999,1.4078513328006228,1.3999836089085582,0.038416620566722015,0.021124019095621612,1.4078513328006228,1.3999836089085582,0.038416620566722015,0.021124019095621612,0.8555166267133812
tkg,gdelt,xERTE,17,mrr,higher,0.065319,0.065294,0.117281,0.118454,0.114725,0.053135,0.05316,0.00372900000000001,0.0011730000000000074,0.051961999999999994,0.8134692815260491,0.8138520185550912,0.05708905525191767,0.017958021402654775,0.8134692815260491,0.8138520185550912,0.05708905525191767,0.017958021402654775,0.5051432201962676
tkg,gdelt,xERTE,37,mrr,higher,0.072675,0.072869,0.114824,0.115852,0.113267,0.04317699999999999,0.04298299999999999,0.00258499999999999,0.0010280000000000011,0.04214899999999999,0.594110767113863,0.5914413484692121,0.0355693154454763,0.014145166838665306,0.594110767113863,0.5914413484692121,0.0355693154454763,0.014145166838665306,0.366813209494324
