accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.58825,0.608189,1,0.716541,1.0,0.608189,0.755004,0.0
0.6035,0.633185,2,0.697618,1.0,0.633185,0.699571,0.0
0.60675,0.64155,3,0.687193,1.0,0.64155,0.669617,0.0
0.61125,0.65531,4,0.666068,1.0,0.65531,0.641624,0.0
0.63675,0.678936,5,0.648691,1.0,0.678936,0.612373,0.0
0.6555,0.711616,6,0.619513,1.0,0.711616,0.591478,0.0
0.65975,0.729016,7,0.607714,1.0,0.729016,0.566435,0.0
0.67675,0.743722,8,0.594328,1.0,0.743722,0.544276,0.0
0.6825,0.757479,9,0.575686,1.0,0.757479,0.520456,0.0
0.68775,0.770116,10,0.573567,1.0,0.770116,0.500783,0.0
