accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.582,0.610181,2.945492,0.953993,1,0.716719,1.0,0.610181,0.759079,0.0
0.5965,0.630693,2.93231,0.964028,2,0.696554,1.0,0.630693,0.704793,0.0
0.6125,0.655391,2.834073,0.977416,3,0.675999,1.0,0.655391,0.673377,0.0
0.6205,0.679646,2.574159,0.989693,4,0.646038,1.0,0.679646,0.636699,0.0
0.667,0.724063,2.215289,0.996874,5,0.612148,1.0,0.724063,0.601959,0.0
0.69475,0.763206,2.005499,0.999244,6,0.574827,1.0,0.763206,0.572509,0.0
0.715,0.791249,1.824308,0.999797,7,0.548653,1.0,0.791249,0.541138,0.0
0.7325,0.812856,1.986171,0.999926,8,0.525258,1.0,0.812856,0.518849,0.0
0.751,0.837498,2.242216,0.999965,9,0.496341,1.0,0.837498,0.490535,0.0
0.774,0.852099,2.167232,0.999981,10,0.479748,1.0,0.852099,0.4708,0.0
