accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5805,0.607735,1,0.717874,0.847151,0.607735,0.760225,2.614042
0.59025,0.626066,2,0.699081,0.855026,0.626066,0.704727,2.805057
0.606,0.644312,3,0.687421,0.866286,0.644312,0.676708,3.167746
0.60775,0.658836,4,0.665201,0.877384,0.658836,0.644221,3.757492
0.637,0.683051,5,0.647568,0.8857,0.683051,0.616253,4.801642
0.6595,0.710955,6,0.622611,0.888463,0.710955,0.595415,5.99894
0.662,0.723966,7,0.613197,0.889428,0.723966,0.568639,7.796851
0.67125,0.735943,8,0.604568,0.889474,0.735943,0.548255,8.51945
0.68475,0.750259,9,0.593921,0.889537,0.750259,0.523971,9.444847
0.68825,0.75986,10,0.579603,0.889593,0.75986,0.502105,10.141981
