accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.53925,0.564665,2.952304,0.948641,1,0.752424,1.0,0.564665,0.782264,0.0
0.5605,0.594542,2.932974,0.953726,2,0.721408,1.0,0.594542,0.720734,0.0
0.5955,0.628269,2.889795,0.963776,3,0.692265,1.0,0.628269,0.684492,0.0
0.60825,0.65606,2.739508,0.977261,4,0.664216,1.0,0.65606,0.660569,0.0
0.63675,0.685705,2.468013,0.989929,5,0.640074,1.0,0.685705,0.633147,0.0
0.664,0.727143,2.089736,0.997157,6,0.608354,1.0,0.727143,0.603699,0.0
0.6845,0.75577,1.827533,0.999359,7,0.584377,1.0,0.75577,0.570477,0.0
0.68525,0.75918,1.760945,0.99983,8,0.586436,1.0,0.75918,0.545622,0.0
0.6705,0.740661,1.892171,0.999939,9,0.597169,1.0,0.740661,0.51843,0.0
0.6265,0.697546,2.08766,0.999971,10,0.654946,1.0,0.697546,0.488527,0.0
