accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.545012,1,41.250561,0.108809,4024.831758,0.760341,0.760341,96.589381,0.330294
0.462287,2,41.191822,0.108822,4024.595664,0.718708,0.718708,96.708969,0.330597
0.536902,3,41.162083,0.10884,4024.361483,0.757232,0.757232,98.088638,0.331005
0.520681,4,41.141136,0.108877,4023.77774,0.748716,0.748716,99.322337,0.331777
0.536902,5,41.098988,0.108871,4023.015314,0.756826,0.756826,97.085284,0.331699
0.553933,6,41.089756,0.108865,4022.239804,0.766018,0.766018,98.238075,0.331605
0.553933,7,41.081726,0.108871,4021.195093,0.763585,0.763585,96.548617,0.331735
0.560422,8,41.05328,0.108883,4019.578586,0.768181,0.768181,97.539149,0.332083
0.566099,9,41.02866,0.108894,4017.587702,0.772236,0.772236,97.508418,0.332415
0.564477,10,41.007824,0.108927,4015.16846,0.771019,0.771019,95.503222,0.333061
