accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.502839,1,41.308121,0.015715,4025.216295,0.7402,0.7402,99.636139,0.046827
0.49635,2,41.223591,0.015618,4024.735375,0.72844,0.72844,97.290667,0.04501
0.544201,3,41.106667,0.01548,4023.998288,0.760476,0.760476,95.945577,0.042707
0.520681,4,41.119564,0.015404,4022.884174,0.748716,0.748716,97.464884,0.041525
0.549067,5,41.082783,0.015364,4021.527287,0.762909,0.762909,97.268832,0.040931
0.562044,6,41.067814,0.015429,4019.62697,0.769262,0.769262,96.858637,0.041894
0.545823,7,41.030827,0.015496,4017.131419,0.760746,0.760746,96.040009,0.042954
0.554745,8,41.007401,0.015626,4013.848171,0.764125,0.764125,96.515895,0.045204
0.562044,9,40.966099,0.015785,4009.81587,0.76791,0.76791,98.439356,0.048353
0.556367,10,40.909702,0.015935,4004.952183,0.765207,0.765207,97.42216,0.051934
