accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.49635,1,41.428493,0.114582,4024.918427,0.73628,0.73628,98.652847,0.0
0.482563,2,41.187748,0.114582,4024.33701,0.721682,0.721682,97.025246,0.0
0.502839,3,41.186058,0.114582,4023.282263,0.739795,0.739795,97.288386,0.0
0.542579,4,41.112194,0.114582,4021.95997,0.759665,0.759665,96.383013,0.0
0.561233,5,41.0807,0.114582,4020.402747,0.769127,0.769127,96.743123,0.0
0.540146,6,41.063885,0.114582,4018.147362,0.758989,0.758989,96.447482,0.0
0.544201,7,41.029919,0.114582,4015.308363,0.7598,0.7598,97.984492,0.0
0.523114,8,41.000523,0.114582,4012.057775,0.749662,0.749662,97.854731,0.0
0.524736,9,40.954834,0.114582,4008.094971,0.750473,0.750473,96.019396,0.0
0.562855,10,40.894917,0.114582,4003.406837,0.769262,0.769262,97.589406,0.0
