accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.416869,1,41.675652,0.108897,4024.919182,0.69262,0.69262,98.652847,0.332114
0.45661,2,41.267498,0.108935,4024.341697,0.698838,0.698838,97.025246,0.332956
0.502839,3,41.167377,0.108838,4023.270985,0.739795,0.739795,97.288386,0.330917
0.470397,4,41.126617,0.108882,4021.915673,0.723574,0.723574,96.383013,0.331838
0.471208,5,41.147316,0.108833,4020.334261,0.723168,0.723168,96.743126,0.330818
0.473642,6,41.14851,0.108815,4018.058696,0.723709,0.723709,96.447482,0.330464
0.466342,7,41.107811,0.108912,4015.200807,0.718302,0.718302,97.984492,0.33249
0.47283,8,41.070999,0.109045,4011.95162,0.720871,0.720871,97.854731,0.335362
0.48824,9,41.01965,0.109166,4008.068513,0.728035,0.728035,96.019396,0.338039
0.473642,10,40.956169,0.109298,4003.442858,0.721952,0.721952,97.589409,0.341005
