distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.734979,0.734979,1,1.585975,1.0,0.559171,0.542513,0.265021,0.265021,0.556002,0.319611,0.265021,0.559171,0.319611,0.319611,0.331846,0.540207,1.0,0.265021,1.593967,0.0
0.734929,0.734929,2,1.589989,1.0,0.568064,0.550182,0.265071,0.265071,0.559257,0.327293,0.265071,0.568064,0.327293,0.327293,0.347673,0.545006,1.0,0.265071,1.564391,0.0
0.735465,0.735465,3,1.609198,1.0,0.564171,0.547468,0.264535,0.264535,0.558345,0.325243,0.264535,0.564171,0.325243,0.325243,0.341426,0.54408,1.0,0.264535,1.528248,0.0
0.735568,0.735568,4,1.639431,1.0,0.552634,0.537167,0.264432,0.264432,0.546966,0.309409,0.264432,0.552634,0.309409,0.309409,0.321104,0.537278,1.0,0.264432,1.46795,0.0
0.738729,0.738729,5,1.709505,1.0,0.558038,0.543296,0.261271,0.261271,0.552084,0.319382,0.261271,0.558038,0.319382,0.319382,0.327687,0.542666,1.0,0.261271,1.380676,0.0
0.740167,0.740167,6,1.758131,1.0,0.548623,0.534546,0.259833,0.259833,0.549351,0.303767,0.259833,0.548623,0.303767,0.303767,0.306641,0.544905,1.0,0.259833,1.275889,0.0
0.741214,0.741214,7,1.913617,1.0,0.553963,0.54105,0.258786,0.258786,0.555836,0.314424,0.258786,0.553963,0.314424,0.314424,0.318023,0.546589,1.0,0.258786,1.14882,0.0
0.741635,0.741635,8,2.039685,1.0,0.543522,0.530539,0.258365,0.258365,0.542876,0.296867,0.258365,0.543522,0.296867,0.296867,0.304351,0.521417,1.0,0.258365,1.019244,0.0
0.744821,0.744821,9,2.202294,1.0,0.550255,0.538481,0.255179,0.255179,0.551856,0.310464,0.255179,0.550255,0.310464,0.310464,0.313477,0.533287,1.0,0.255179,0.898516,0.0
0.743753,0.743753,10,2.380105,1.0,0.544511,0.53109,0.256247,0.256247,0.545136,0.296465,0.256247,0.544511,0.296465,0.296465,0.304721,0.52667,1.0,0.256247,0.773178,0.0
