distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.734388,0.702178,1,1.585927,0.951449,0.560652,0.5437,0.265612,0.265612,0.556058,0.320516,0.265674,0.560652,0.320516,0.320516,0.334439,0.541336,1.0,0.254052,1.59418,1.757599
0.733836,0.698782,2,1.590092,0.947664,0.566333,0.54858,0.266164,0.266164,0.559288,0.325289,0.266341,0.566333,0.325289,0.325289,0.343666,0.54701,1.0,0.253709,1.564247,1.66265
0.734799,0.698171,3,1.609334,0.945805,0.563724,0.547266,0.265201,0.265201,0.55828,0.325625,0.26551,0.563724,0.325625,0.325625,0.340938,0.54408,1.0,0.252435,1.528149,1.624745
0.735216,0.697915,4,1.639397,0.945161,0.553456,0.538474,0.264784,0.264784,0.54714,0.311707,0.265227,0.553456,0.311707,0.311707,0.323107,0.536688,1.0,0.251996,1.467762,1.622697
0.738452,0.69817,5,1.709267,0.941894,0.55899,0.544266,0.261548,0.261548,0.552506,0.320948,0.262058,0.55899,0.320948,0.320948,0.329741,0.542716,1.0,0.247999,1.38055,1.555404
0.740024,0.693477,6,1.758179,0.934396,0.548591,0.534874,0.259976,0.259976,0.54922,0.303818,0.260707,0.548591,0.303818,0.303818,0.306203,0.545983,1.0,0.244635,1.27598,1.415039
0.740922,0.686079,7,1.913441,0.924315,0.554229,0.541256,0.259078,0.259078,0.555523,0.315131,0.260213,0.554229,0.315131,0.315131,0.318073,0.547515,1.0,0.241411,1.14899,1.266719
0.741624,0.694316,8,2.037186,0.932904,0.544504,0.531511,0.258376,0.258376,0.542614,0.297229,0.259196,0.544504,0.297229,0.297229,0.304738,0.524987,1.0,0.242936,1.01939,1.431048
0.744631,0.693047,9,2.201576,0.926771,0.551456,0.539138,0.255369,0.255369,0.552095,0.311929,0.256073,0.551456,0.311929,0.311929,0.314941,0.536705,1.0,0.238508,0.898716,1.310122
0.743544,0.689064,10,2.37775,0.924128,0.543241,0.530094,0.256456,0.256456,0.545271,0.295082,0.257474,0.543241,0.295082,0.295082,0.303206,0.524768,1.0,0.238895,0.773962,1.291102
