distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.734989,0.702885,1,1.585966,0.951627,0.560513,0.543569,0.265011,0.265011,0.555947,0.320272,0.265066,0.560513,0.320272,0.320272,0.333951,0.541824,1.0,0.253513,1.59413,1.7623
0.734934,0.699872,2,1.59013,0.947769,0.566455,0.548743,0.265066,0.265066,0.559211,0.325289,0.265225,0.566455,0.325289,0.325289,0.343666,0.547498,1.0,0.252653,1.564261,1.664748
0.735554,0.699077,3,1.609385,0.946146,0.563675,0.547091,0.264446,0.264446,0.558184,0.325625,0.264751,0.563675,0.325625,0.325625,0.341426,0.542565,1.0,0.251778,1.528137,1.633041
0.735721,0.698794,4,1.639379,0.945825,0.553253,0.538205,0.264279,0.264279,0.547141,0.311219,0.264735,0.553253,0.311219,0.311219,0.322619,0.536688,1.0,0.25168,1.467844,1.641437
0.739028,0.699239,5,1.709701,0.942822,0.558607,0.543812,0.260972,0.260972,0.552372,0.319972,0.261501,0.558607,0.319972,0.319972,0.329253,0.542177,1.0,0.247668,1.38054,1.580315
0.740634,0.69532,6,1.758234,0.936404,0.547732,0.534286,0.259366,0.259366,0.549297,0.303304,0.260098,0.547732,0.303304,0.303304,0.304688,0.545983,1.0,0.244515,1.275972,1.459634
0.741827,0.68901,7,1.914414,0.927669,0.554237,0.541246,0.258173,0.258173,0.555498,0.315237,0.259249,0.554237,0.315237,0.315237,0.318023,0.547515,1.0,0.241236,1.148857,1.326847
0.742308,0.696959,8,2.039321,0.936207,0.54516,0.532359,0.257692,0.257692,0.542664,0.300091,0.258468,0.54516,0.300091,0.300091,0.306253,0.524987,1.0,0.24295,1.019245,1.492301
0.745486,0.695605,9,2.20237,0.929862,0.551793,0.539612,0.254514,0.254514,0.552038,0.312661,0.255181,0.551793,0.312661,0.312661,0.31543,0.536116,1.0,0.238291,0.898665,1.360755
0.744462,0.691704,10,2.379912,0.927202,0.543363,0.529972,0.255538,0.255538,0.545291,0.294594,0.256497,0.543363,0.294594,0.294594,0.303256,0.524717,1.0,0.238609,0.773829,1.342542
