distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.734376,0.734376,1,1.585947,1.0,0.559226,0.542417,0.265624,0.265624,0.556129,0.318853,0.265624,0.559226,0.318853,0.318853,0.331846,0.540696,1.0,0.265624,1.593968,0.0
0.73424,0.73424,2,1.589964,1.0,0.567979,0.550121,0.26576,0.26576,0.559306,0.327562,0.26576,0.567979,0.327562,0.327562,0.347673,0.545006,1.0,0.26576,1.564394,0.0
0.735159,0.735159,3,1.609162,1.0,0.564301,0.547721,0.264841,0.264841,0.558394,0.325731,0.264841,0.564301,0.325731,0.325731,0.341426,0.544619,1.0,0.264841,1.528256,0.0
0.735426,0.735426,4,1.639391,1.0,0.552455,0.537106,0.264574,0.264574,0.547034,0.309653,0.264574,0.552455,0.309653,0.309653,0.321104,0.536301,1.0,0.264574,1.467957,0.0
0.738576,0.738576,5,1.709265,1.0,0.557839,0.543158,0.261424,0.261424,0.55221,0.319163,0.261424,0.557839,0.319163,0.319163,0.327199,0.543204,1.0,0.261424,1.380719,0.0
0.739989,0.739989,6,1.758021,1.0,0.547976,0.53401,0.260011,0.260011,0.549375,0.303279,0.260011,0.547976,0.303279,0.303279,0.305664,0.543928,1.0,0.260011,1.275949,0.0
0.740811,0.740811,7,1.913234,1.0,0.55404,0.541304,0.259189,0.259189,0.555822,0.315889,0.259189,0.55404,0.315889,0.315889,0.318023,0.547565,1.0,0.259189,1.148856,0.0
0.741459,0.741459,8,2.038316,1.0,0.544549,0.531224,0.258541,0.258541,0.542965,0.297894,0.258541,0.544549,0.297894,0.297894,0.306405,0.520491,1.0,0.258541,1.019145,0.0
0.744524,0.744524,9,2.20195,1.0,0.550664,0.538708,0.255476,0.255476,0.551952,0.311028,0.255476,0.550664,0.311028,0.311028,0.314066,0.534314,1.0,0.255476,0.898298,0.0
0.743436,0.743436,10,2.378277,1.0,0.543616,0.530303,0.256564,0.256564,0.545155,0.295438,0.256564,0.543616,0.295438,0.295438,0.303206,0.52667,1.0,0.256564,0.773165,0.0
