distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.734388,0.702178,1,1.585944,0.951449,0.561144,0.544232,0.265612,0.265612,0.555726,0.322107,0.265674,0.561144,0.322107,0.322107,0.334927,0.543339,1.0,0.254052,1.59418,1.757599
0.733836,0.698782,2,1.590078,0.947664,0.568632,0.550524,0.266164,0.266164,0.559107,0.32768,0.266341,0.568632,0.32768,0.32768,0.347084,0.549889,1.0,0.253709,1.564247,1.66265
0.734799,0.698171,3,1.60934,0.945805,0.564669,0.547764,0.265201,0.265201,0.558176,0.325111,0.26551,0.564669,0.325111,0.325111,0.341965,0.546521,1.0,0.252435,1.528149,1.624745
0.735216,0.697915,4,1.639418,0.945161,0.553268,0.538355,0.264784,0.264784,0.54704,0.311438,0.265227,0.553268,0.311438,0.311438,0.322569,0.536688,1.0,0.251996,1.467762,1.622697
0.738452,0.69817,5,1.709344,0.941894,0.558827,0.544062,0.261548,0.261548,0.552481,0.320704,0.262058,0.558827,0.320704,0.320704,0.329253,0.543204,1.0,0.247999,1.38055,1.555404
0.740024,0.693477,6,1.758289,0.934396,0.548314,0.534823,0.259976,0.259976,0.549183,0.303843,0.260707,0.548314,0.303843,0.303843,0.305715,0.545932,1.0,0.244635,1.27598,1.415039
0.740922,0.686079,7,1.913637,0.924315,0.554241,0.541146,0.259078,0.259078,0.555528,0.314643,0.260213,0.554241,0.314643,0.314643,0.318073,0.548003,1.0,0.241411,1.14899,1.266719
0.741624,0.694316,8,2.037289,0.932904,0.544309,0.531393,0.258376,0.258376,0.542646,0.297498,0.259196,0.544309,0.297498,0.297498,0.30425,0.525525,1.0,0.242936,1.01939,1.431048
0.744631,0.693047,9,2.201734,0.926771,0.551415,0.539199,0.255369,0.255369,0.552144,0.312417,0.256073,0.551415,0.312417,0.312417,0.314941,0.536705,1.0,0.238508,0.898716,1.310122
0.743544,0.689064,10,2.377726,0.924128,0.543843,0.53033,0.256456,0.256456,0.54528,0.295082,0.257474,0.543843,0.295082,0.295082,0.304182,0.525306,1.0,0.238895,0.773962,1.291102
