domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
ctdg,lastfm,DyGFormer,base,no_warrant,7,completed,0.500783,0.573567,0.770116,auc,higher,0.68775,0.770116,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,11.483548,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/base/seed_7
ctdg,lastfm,DyGFormer,generic_qk_warrant,weak_path_generic_attention,7,completed,0.502105,0.579603,0.75986,auc,higher,0.68825,0.75986,,,,,,,,,,,,,,,0.889593,10.141981,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,52.464022,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/generic_qk_warrant/seed_7
ctdg,lastfm,DyGFormer,correct_path_warrant,metric_defining_path,7,completed,0.4708,0.479748,0.852099,auc,higher,0.774,0.852099,,,,,,,,,,,,,,,1.0,0.0,0.999981,2.167232,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,74.008795,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/correct_path_warrant/seed_7
ctdg,lastfm,DyGFormer,shuffled_pairing,query_item_pairing_control,7,completed,0.4708,0.596949,0.756844,auc,higher,0.68625,0.756844,,,,,,,,,,,,,,,1.0,0.0,0.999981,2.182216,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,49.726893,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/shuffled_pairing/seed_7
ctdg,lastfm,DyGFormer,base,no_warrant,17,completed,0.512833,0.567571,0.768222,auc,higher,0.696,0.768222,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,6.639778,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/base/seed_17
ctdg,lastfm,DyGFormer,generic_qk_warrant,weak_path_generic_attention,17,completed,0.496813,0.571849,0.767556,auc,higher,0.68125,0.767556,,,,,,,,,,,,,,,0.889443,10.673711,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,8.531546,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/generic_qk_warrant/seed_17
ctdg,lastfm,DyGFormer,correct_path_warrant,metric_defining_path,17,completed,0.46541,0.476248,0.8548,auc,higher,0.7775,0.8548,,,,,,,,,,,,,,,1.0,0.0,0.999986,2.030663,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.491015,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/correct_path_warrant/seed_17
ctdg,lastfm,DyGFormer,shuffled_pairing,query_item_pairing_control,17,completed,0.46541,0.628987,0.712644,auc,higher,0.6465,0.712644,,,,,,,,,,,,,,,1.0,0.0,0.999986,2.003972,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,14.143776,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/shuffled_pairing/seed_17
ctdg,lastfm,DyGFormer,base,no_warrant,37,completed,0.517399,0.573471,0.764608,auc,higher,0.68475,0.764608,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,118.285926,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/base/seed_37
ctdg,lastfm,DyGFormer,generic_qk_warrant,weak_path_generic_attention,37,completed,0.528786,0.573102,0.771677,auc,higher,0.693,0.771677,,,,,,,,,,,,,,,0.889601,9.806982,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.46974,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/generic_qk_warrant/seed_37
