epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.958682,1.0,9.958682,0.434269,2.278089,2.278089,3.679704,0.0
2,9.900134,1.0,9.900134,0.57752,2.261636,2.261636,3.537927,0.0
3,9.790265,1.0,9.790265,0.453898,2.256377,2.256377,3.512832,0.0
4,9.553284,1.0,9.553284,0.26549,2.247065,2.247065,3.477174,0.0
5,9.330234,1.0,9.330234,0.49561,2.231893,2.231893,3.460133,0.0
6,9.446863,1.0,9.446863,0.30684,2.226355,2.226355,3.446156,0.0
7,9.49654,1.0,9.49654,0.326231,2.226372,2.226372,3.431538,0.0
8,9.349968,1.0,9.349968,0.263834,2.247604,2.247604,3.418929,0.0
9,9.345448,1.0,9.345448,0.251772,2.243645,2.243645,3.404314,0.0
10,9.410343,1.0,9.410343,0.227575,2.241065,2.241065,3.390082,0.0
