epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.971931,0.938495,9.971931,0.434707,2.286121,2.286121,3.679883,2.857756
2,9.955402,0.939084,9.955402,0.57631,2.269577,2.269577,3.53854,2.870302
3,9.858829,0.939972,9.858829,0.398438,2.268788,2.268788,3.511228,2.88949
4,9.64307,0.94047,9.64307,0.25787,2.24879,2.24879,3.480197,2.900529
5,9.376972,0.940131,9.376972,0.507792,2.236157,2.236157,3.458765,2.894795
6,9.596149,0.9412,9.596149,0.339401,2.242511,2.242511,3.446281,2.920715
7,9.64322,0.94127,9.64322,0.322711,2.23216,2.23216,3.431956,2.924379
8,9.420477,0.941508,9.420477,0.30713,2.237912,2.237912,3.418208,2.937255
9,9.434739,0.943879,9.434739,0.228134,2.228715,2.228715,3.404802,2.993707
10,9.56952,0.945214,9.56952,0.249,2.204471,2.204471,3.39216,3.021873
