epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.974861,0.478353,9.974861,0.298781,2.285673,2.285673,3.676115,1.488603
2,9.976416,0.47683,9.976416,0.627934,2.274559,2.274559,3.537483,1.455175
3,9.826782,0.47683,9.826782,0.375649,2.270144,2.270144,3.51374,1.455187
4,9.549623,0.476892,9.549623,0.252505,2.256252,2.256252,3.477807,1.456491
5,9.429114,0.476468,9.429114,0.526844,2.241345,2.241345,3.461161,1.44752
6,9.59848,0.476633,9.59848,0.304143,2.255773,2.255773,3.448468,1.451005
7,9.639029,0.476551,9.639029,0.31988,2.259308,2.259308,3.433409,1.449257
8,9.506024,0.476468,9.506024,0.340863,2.25392,2.25392,3.419795,1.447514
9,9.465368,0.47655,9.465368,0.25151,2.256492,2.256492,3.40737,1.449252
10,9.516842,0.476543,9.516842,0.252931,2.249124,2.249124,3.394399,1.449116
