epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.982588,0.98775,9.982588,0.269321,2.286498,2.286498,3.67497,0.0
2,9.981271,0.98775,9.981271,0.612638,2.273441,2.273441,3.534268,0.0
3,9.807898,0.98775,9.807898,0.34083,2.268335,2.268335,3.510789,0.0
4,9.493839,0.98775,9.493839,0.294428,2.2519,2.2519,3.476991,0.0
5,9.441476,0.98775,9.441476,0.501769,2.234129,2.234129,3.461559,0.0
6,9.602849,0.98775,9.602849,0.295926,2.252026,2.252026,3.445558,0.0
7,9.598178,0.98775,9.598178,0.339875,2.257103,2.257103,3.431993,0.0
8,9.465483,0.98775,9.465483,0.322847,2.258989,2.258989,3.418692,0.0
9,9.461296,0.98775,9.461296,0.239069,2.246728,2.246728,3.405864,0.0
10,9.477702,0.98775,9.477702,0.243018,2.237763,2.237763,3.392405,0.0
