epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,11.621634,0.938495,11.621634,0.434242,3.348476,3.348476,3.679883,2.857756
2,11.589602,0.939084,11.589602,0.576174,3.323595,3.323595,3.53854,2.870302
3,11.461397,0.939972,11.461397,0.39824,3.292553,3.292553,3.511228,2.889491
4,11.155789,0.94047,11.155789,0.257722,3.215591,3.215591,3.480197,2.90053
5,10.73998,0.940131,10.73998,0.508776,3.102635,3.102635,3.458765,2.894796
6,11.07308,0.9412,11.07308,0.340989,3.169803,3.169803,3.446281,2.920715
7,11.135181,0.94127,11.135181,0.324442,3.172006,3.172006,3.431956,2.924379
8,10.739644,0.941508,10.739644,0.308722,3.070893,3.070893,3.418208,2.937256
9,10.750333,0.943879,10.750333,0.228136,3.058817,3.058817,3.404802,2.993708
10,11.029075,0.945214,11.029075,0.248614,3.118722,3.118722,3.39216,3.021874
