accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.0,1,17.454699,1.0,0.001687,0.001687,24.552943,0.0,0.0
0.003,2,13.789894,1.0,0.007373,0.007373,16.731425,0.0,0.0
0.0055,3,11.979701,1.0,0.012252,0.012252,13.551646,0.0,0.0
0.0185,4,11.021926,1.0,0.029332,0.029332,11.871389,0.0,0.0
0.029,5,10.553174,1.0,0.037419,0.037419,10.957614,0.0,0.0
0.0415,6,10.213612,1.0,0.049367,0.049367,10.43426,0.0,0.0
0.048,7,9.974008,1.0,0.056409,0.056409,10.041637,0.0,0.0
0.058,8,9.78675,1.0,0.064168,0.064168,9.752725,0.0,0.0
0.065,9,9.630159,1.0,0.06978,0.06978,9.533128,0.0,0.0
0.0685,10,9.495522,1.0,0.072675,0.072675,9.338168,0.0,0.0
