accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.024,1,15.800114,0.950632,0.040061,0.040061,22.529625,2.883977,1.0
0.0385,2,12.531988,0.952829,0.066281,0.066281,15.019181,2.915996,1.0
0.0695,3,11.020207,0.959929,0.096052,0.096052,12.249135,3.086466,1.0
0.065,4,10.209691,0.969567,0.096386,0.096386,10.725308,3.358161,1.0
0.074,5,9.718009,0.977982,0.104619,0.104619,9.97071,3.707439,1.0
0.072,6,9.355509,0.980297,0.105563,0.105563,9.458194,3.814453,1.0
0.085,7,9.121429,0.979857,0.11464,0.11464,9.071042,3.796365,1.0
0.084,8,8.952401,0.977868,0.115553,0.115553,8.810267,3.72437,1.0
0.0885,9,8.825961,0.975092,0.119076,0.119076,8.607023,3.638761,1.0
0.0835,10,8.711327,0.971151,0.11752,0.11752,8.417494,3.50581,1.0
