accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.0,1,17.45532,0.950389,0.001651,0.001651,24.553409,2.919075,0.0
0.003,2,13.789182,0.951126,0.007253,0.007253,16.731444,2.935323,0.0
0.006,3,11.976527,0.956907,0.012662,0.012662,13.549721,3.131076,0.0
0.0185,4,11.01781,0.965605,0.029313,0.029313,11.868841,3.474041,0.0
0.0285,5,10.552693,0.971847,0.037121,0.037121,10.954896,3.77437,0.0
0.04,6,10.215185,0.972092,0.048446,0.048446,10.435897,3.818674,0.0
0.048,7,9.974098,0.969442,0.05635,0.05635,10.043426,3.747203,0.0
0.0585,8,9.787151,0.966055,0.06467,0.06467,9.753739,3.688262,0.0
0.065,9,9.63257,0.962789,0.069804,0.069804,9.533727,3.617707,0.0
0.0685,10,9.500935,0.959685,0.072869,0.072869,9.339848,3.564449,0.0
