accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.025,1,14.922346,1.0,0.044063,0.044063,21.371917,0.0,1.0
0.04,2,12.19453,1.0,0.0692,0.0692,14.425526,0.0,1.0
0.0605,3,10.77657,1.0,0.089104,0.089104,11.836722,0.0,1.0
0.06,4,9.982017,1.0,0.09447,0.09447,10.516363,0.0,1.0
0.0735,5,9.503155,1.0,0.105581,0.105581,9.7414,0.0,1.0
0.077,6,9.192665,1.0,0.109962,0.109962,9.243412,0.0,1.0
0.0775,7,8.969178,1.0,0.112207,0.112207,8.901327,0.0,1.0
0.0785,8,8.811216,1.0,0.113975,0.113975,8.622567,0.0,1.0
0.084,9,8.677488,1.0,0.118012,0.118012,8.429524,0.0,1.0
0.081,10,8.591119,1.0,0.117281,0.117281,8.251208,0.0,1.0
